,Date,Value
46,2022-12-12 04,57.95
42,2022-12-12 05,57.26
36,2022-12-12 06,57.8
27,2022-12-12 07,57.75
22,2022-12-12 08,57.76
12,2022-12-12 09,57.51
7,2022-12-12 10,57.6
275,2022-12-16 04,54.6
256,2022-12-16 05,55.62
250,2022-12-16 06,55.99
241,2022-12-16 09,55.7
188,2022-12-16 10,55.28
113,2022-12-16 11,55.0
366,2022-12-19 04,55.9
354,2022-12-19 05,55.0
347,2022-12-19 06,55.4
323,2022-12-19 07,54.75
306,2022-12-19 08,54.84
298,2022-12-19 09,54.75
286,2022-12-19 10,54.74
496,2022-12-20 04,55.26
494,2022-12-20 05,54.71
490,2022-12-20 06,55.01
477,2022-12-20 07,54.75
464,2022-12-20 08,55.0
440,2022-12-20 09,54.52
402,2022-12-20 10,53.86
647,2022-12-21 04,54.0
645,2022-12-21 05,54.5
636,2022-12-21 06,54.11
613,2022-12-21 07,55.25
589,2022-12-21 08,54.92
574,2022-12-21 09,54.0
543,2022-12-21 10,53.99
500,2022-12-21 11,53.07
