,Date,Value
166,2022-12-12 04,103.75
155,2022-12-12 05,103.21
130,2022-12-12 06,102.3
107,2022-12-12 07,101.8
87,2022-12-12 08,101.08
62,2022-12-12 09,101.5
27,2022-12-12 10,101.94
5,2022-12-12 11,101.61
598,2022-12-16 04,97.1
555,2022-12-16 05,99.51
533,2022-12-16 06,100.0
482,2022-12-16 09,100.2
445,2022-12-16 10,100.45
333,2022-12-16 11,102.0
946,2022-12-19 04,102.6
923,2022-12-19 05,102.5
886,2022-12-19 06,102.31
852,2022-12-19 07,101.75
810,2022-12-19 08,101.75
792,2022-12-19 09,102.5
652,2022-12-19 10,104.0
1503,2022-12-20 04,105.0
1476,2022-12-20 05,102.01
1430,2022-12-20 06,102.3
1355,2022-12-20 07,100.2
1195,2022-12-20 08,99.74
1114,2022-12-20 09,97.38
1018,2022-12-20 10,96.52
948,2022-12-20 11,97.11
1897,2022-12-21 04,97.11
1868,2022-12-21 05,99.03
1788,2022-12-21 06,98.98
1745,2022-12-21 07,99.0
1713,2022-12-21 08,99.0
1660,2022-12-21 09,99.0
1572,2022-12-21 10,98.0
1505,2022-12-21 11,96.88
