,Date,Value
595,2022-12-12 04,48.69
558,2022-12-12 05,48.42
511,2022-12-12 06,48.2
404,2022-12-12 07,48.25
282,2022-12-12 08,49.1
237,2022-12-12 09,48.95
177,2022-12-12 10,49.05
1,2022-12-12 11,49.48
858,2022-12-16 04,49.79
795,2022-12-16 05,49.19
768,2022-12-16 06,49.21
741,2022-12-16 09,49.2
729,2022-12-16 10,49.3
667,2022-12-16 11,49.55
596,2022-12-16 12,49.79
1238,2022-12-19 04,49.79
1150,2022-12-19 05,49.61
1099,2022-12-19 06,49.84
1076,2022-12-19 07,49.4
1028,2022-12-19 08,49.2
949,2022-12-19 09,49.68
920,2022-12-19 10,49.66
859,2022-12-19 11,49.93
2115,2022-12-20 04,49.88
2095,2022-12-20 05,49.31
1975,2022-12-20 06,48.95
1853,2022-12-20 07,48.2
1739,2022-12-20 08,48.3
1526,2022-12-20 09,47.3
1425,2022-12-20 10,46.77
1250,2022-12-20 11,48.84
2815,2022-12-21 04,47.5
2744,2022-12-21 05,48.24
2642,2022-12-21 06,48.02
2583,2022-12-21 07,48.2
2517,2022-12-21 08,47.9
2424,2022-12-21 09,47.84
2278,2022-12-21 10,47.76
2124,2022-12-21 11,48.14
