,Date,Value
254,2022-12-12 04,81.3
225,2022-12-12 05,81.35
168,2022-12-12 06,81.2
109,2022-12-12 07,81.25
84,2022-12-12 08,81.17
63,2022-12-12 09,81.15
30,2022-12-12 10,81.29
644,2022-12-16 04,79.9
555,2022-12-16 05,80.01
491,2022-12-16 06,80.25
443,2022-12-16 09,80.12
391,2022-12-16 10,80.2
308,2022-12-16 11,80.4
258,2022-12-16 12,80.41
919,2022-12-19 04,80.3
894,2022-12-19 05,80.12
845,2022-12-19 06,80.22
783,2022-12-19 07,80.0
749,2022-12-19 08,80.14
710,2022-12-19 09,80.0
668,2022-12-19 10,80.17
1543,2022-12-20 04,80.0
1495,2022-12-20 05,79.5
1405,2022-12-20 06,79.85
1337,2022-12-20 07,79.55
1235,2022-12-20 08,79.6
1155,2022-12-20 09,79.4
984,2022-12-20 10,78.0
1948,2022-12-21 04,78.8
1907,2022-12-21 05,79.18
1809,2022-12-21 06,79.01
1763,2022-12-21 07,79.25
1714,2022-12-21 08,79.24
1680,2022-12-21 09,79.2
1610,2022-12-21 10,78.8
1544,2022-12-21 11,78.61
