,Date,Value
322,2022-12-12 04,263.0
293,2022-12-12 05,262.2
257,2022-12-12 06,261.1
199,2022-12-12 07,260.9
149,2022-12-12 08,260.5
87,2022-12-12 09,260.8
44,2022-12-12 10,260.98
3,2022-12-12 11,260.61
1565,2022-12-13 04,261.0
1487,2022-12-13 05,262.55
1157,2022-12-13 06,265.6
1046,2022-12-13 07,266.3
878,2022-12-13 08,266.0
551,2022-12-13 09,268.49
433,2022-12-13 10,267.65
323,2022-12-13 11,269.2
2353,2022-12-16 04,277.05
2186,2022-12-16 05,275.41
1959,2022-12-16 06,279.55
1857,2022-12-16 09,278.0
1777,2022-12-16 10,277.31
1671,2022-12-16 11,277.5
1567,2022-12-16 12,275.67
3193,2022-12-20 04,273.0
3148,2022-12-20 05,273.0
3022,2022-12-20 06,270.9
2840,2022-12-20 07,267.0
2689,2022-12-20 08,267.51
2607,2022-12-20 09,266.26
2497,2022-12-20 10,264.1
2360,2022-12-20 11,264.97
3860,2022-12-21 04,264.9
3779,2022-12-21 05,266.01
3649,2022-12-21 06,264.97
3606,2022-12-21 07,264.5
3538,2022-12-21 08,263.35
3483,2022-12-21 09,263.15
3317,2022-12-21 10,261.0
3199,2022-12-21 11,260.11
