,Date,Value
267,2022-12-12 04,102.75
254,2022-12-12 05,102.5
201,2022-12-12 06,102.4
173,2022-12-12 07,102.4
122,2022-12-12 08,102.25
104,2022-12-12 09,102.2
54,2022-12-12 10,102.2
2,2022-12-12 11,102.11
673,2022-12-13 04,102.25
633,2022-12-13 05,102.39
561,2022-12-13 06,102.25
493,2022-12-13 07,102.1
422,2022-12-13 08,102.09
372,2022-12-13 09,102.13
313,2022-12-13 10,102.47
918,2022-12-16 04,101.51
889,2022-12-16 05,101.49
861,2022-12-16 06,101.38
833,2022-12-16 09,101.15
799,2022-12-16 10,101.15
686,2022-12-16 11,102.5
1096,2022-12-19 04,102.1
1086,2022-12-19 05,102.05
1033,2022-12-19 06,102.0
1007,2022-12-19 07,102.0
976,2022-12-19 08,101.95
954,2022-12-19 09,101.8
939,2022-12-19 10,101.71
1490,2022-12-20 04,101.7
1484,2022-12-20 05,101.61
1422,2022-12-20 06,101.6
1378,2022-12-20 07,101.36
1319,2022-12-20 08,101.2
1245,2022-12-20 09,100.52
1178,2022-12-20 10,100.75
1815,2022-12-21 04,102.0
1800,2022-12-21 05,102.25
1751,2022-12-21 06,101.51
1700,2022-12-21 07,101.75
1661,2022-12-21 08,101.69
1639,2022-12-21 09,101.85
1574,2022-12-21 10,101.19
1493,2022-12-21 11,101.06
