,Date,Value
38,2022-12-12 05,125.25
32,2022-12-12 06,125.0
28,2022-12-12 07,124.5
21,2022-12-12 08,124.0
18,2022-12-12 09,123.11
10,2022-12-12 10,123.5
162,2022-12-16 04,117.79
148,2022-12-16 05,116.0
135,2022-12-16 06,115.0
119,2022-12-16 09,115.9
109,2022-12-16 10,114.99
68,2022-12-16 11,115.0
44,2022-12-16 12,114.89
317,2022-12-19 04,114.2
315,2022-12-19 05,113.0
283,2022-12-19 06,111.0
267,2022-12-19 07,110.55
219,2022-12-19 08,111.48
214,2022-12-19 09,110.1
204,2022-12-19 10,110.11
526,2022-12-20 04,108.01
502,2022-12-20 05,107.25
474,2022-12-20 06,106.0
429,2022-12-20 07,104.3
405,2022-12-20 08,103.2
356,2022-12-20 09,101.0
331,2022-12-20 10,100.53
318,2022-12-20 11,100.53
721,2022-12-21 04,100.0
689,2022-12-21 05,100.5
659,2022-12-21 06,100.75
628,2022-12-21 07,100.98
609,2022-12-21 08,100.5
588,2022-12-21 09,99.0
554,2022-12-21 10,96.25
529,2022-12-21 11,96.35
