,Date,Value
672,2022-12-12 04,66.29
603,2022-12-12 05,66.14
504,2022-12-12 06,65.5
443,2022-12-12 07,65.72
287,2022-12-12 08,66.1
235,2022-12-12 09,65.99
166,2022-12-12 10,65.9
3,2022-12-12 11,65.57
1459,2022-12-13 04,65.5
1309,2022-12-13 05,66.15
1065,2022-12-13 06,66.5
912,2022-12-13 07,66.35
842,2022-12-13 08,66.27
794,2022-12-13 09,66.03
736,2022-12-13 10,65.9
674,2022-12-13 11,65.97
1826,2022-12-16 04,64.89
1751,2022-12-16 05,64.14
1689,2022-12-16 06,64.8
1653,2022-12-16 09,64.55
1612,2022-12-16 10,65.0
1498,2022-12-16 11,64.51
2170,2022-12-19 04,66.0
2088,2022-12-19 05,64.8
2028,2022-12-19 06,65.01
1998,2022-12-19 07,64.3
1916,2022-12-19 08,64.78
1886,2022-12-19 09,65.0
1858,2022-12-19 10,64.91
1828,2022-12-19 11,64.77
2661,2022-12-20 04,64.1
2633,2022-12-20 05,64.02
2563,2022-12-20 06,63.98
2504,2022-12-20 07,63.72
2435,2022-12-20 08,63.75
2347,2022-12-20 09,62.9
2244,2022-12-20 10,62.6
2173,2022-12-20 11,62.96
3183,2022-12-21 04,64.49
3148,2022-12-21 05,63.35
3063,2022-12-21 06,63.38
3011,2022-12-21 07,63.35
2969,2022-12-21 08,63.5
2901,2022-12-21 09,62.65
2709,2022-12-21 10,62.2
2662,2022-12-21 11,62.6
