,Date,Value
374,2022-12-12 04,65.44
328,2022-12-12 05,65.39
266,2022-12-12 06,65.11
214,2022-12-12 07,65.2
154,2022-12-12 08,65.28
101,2022-12-12 09,65.0
50,2022-12-12 10,65.05
1,2022-12-12 11,64.99
849,2022-12-13 04,65.25
803,2022-12-13 05,65.0
745,2022-12-13 06,65.0
684,2022-12-13 07,64.75
568,2022-12-13 08,64.95
502,2022-12-13 09,65.1
444,2022-12-13 10,65.0
378,2022-12-13 11,65.34
1668,2022-12-16 04,63.0
1556,2022-12-16 05,63.4
1427,2022-12-16 06,63.33
1366,2022-12-16 09,63.3
1261,2022-12-16 10,63.2
1029,2022-12-16 11,62.9
852,2022-12-16 12,62.75
2661,2022-12-19 04,62.74
2514,2022-12-19 05,61.75
2346,2022-12-19 06,62.0
2228,2022-12-19 07,61.7
2040,2022-12-19 08,61.4
1957,2022-12-19 09,61.49
1853,2022-12-19 10,61.0
1673,2022-12-19 11,60.8
3784,2022-12-20 04,61.0
3711,2022-12-20 05,60.4
3559,2022-12-20 06,60.45
3374,2022-12-20 07,59.95
3140,2022-12-20 08,60.0
3039,2022-12-20 09,59.86
2818,2022-12-20 10,59.6
2673,2022-12-20 11,59.66
5062,2022-12-21 04,59.99
4895,2022-12-21 05,59.85
4639,2022-12-21 06,59.9
4335,2022-12-21 07,60.0
4201,2022-12-21 08,60.0
4129,2022-12-21 09,60.0
3938,2022-12-21 10,59.92
3787,2022-12-21 11,59.59
