,Date,Value
200,2022-12-12 04,47.0
172,2022-12-12 05,45.23
151,2022-12-12 06,45.51
133,2022-12-12 07,45.38
102,2022-12-12 08,45.2
90,2022-12-12 09,45.11
49,2022-12-12 10,45.0
1,2022-12-12 11,44.79
516,2022-12-16 04,45.13
497,2022-12-16 05,44.85
469,2022-12-16 06,44.62
438,2022-12-16 09,44.95
421,2022-12-16 10,44.5
306,2022-12-16 11,45.5
203,2022-12-16 12,46.39
1105,2022-12-19 04,44.8
1060,2022-12-19 05,46.5
901,2022-12-19 06,46.52
862,2022-12-19 07,46.25
829,2022-12-19 08,46.11
814,2022-12-19 09,46.5
597,2022-12-19 10,47.3
518,2022-12-19 11,47.81
