,Date,Value
359,2022-12-12 04,27.2
324,2022-12-12 05,27.05
243,2022-12-12 06,27.1
165,2022-12-12 07,27.0
125,2022-12-12 08,27.06
88,2022-12-12 09,27.1
45,2022-12-12 10,27.1
1232,2022-12-16 04,26.85
1191,2022-12-16 05,26.95
1128,2022-12-16 06,27.0
979,2022-12-16 09,27.3
790,2022-12-16 10,27.36
570,2022-12-16 11,27.52
371,2022-12-16 12,27.93
1791,2022-12-19 04,28.1
1671,2022-12-19 05,27.94
1565,2022-12-19 06,27.8
1517,2022-12-19 07,27.7
1435,2022-12-19 08,27.29
1385,2022-12-19 09,27.55
1300,2022-12-19 10,27.65
1233,2022-12-19 11,27.61
2563,2022-12-20 04,27.64
2541,2022-12-20 05,27.49
2439,2022-12-20 06,27.33
2318,2022-12-20 07,26.91
2136,2022-12-20 08,26.95
2034,2022-12-20 09,26.85
1896,2022-12-20 10,26.5
1794,2022-12-20 11,26.83
2942,2022-12-21 04,26.7
2900,2022-12-21 05,26.84
2800,2022-12-21 06,27.06
2755,2022-12-21 07,26.96
2718,2022-12-21 08,26.95
2677,2022-12-21 09,26.8
2622,2022-12-21 10,26.7
