,Date,Value
389,2022-12-12 04,451.01
365,2022-12-12 05,452.1
306,2022-12-12 06,451.94
269,2022-12-12 07,452.0
153,2022-12-12 08,453.45
122,2022-12-12 09,452.15
58,2022-12-12 10,453.0
0,2022-12-12 11,453.37
1079,2022-12-13 04,451.01
1018,2022-12-13 05,454.0
871,2022-12-13 06,456.51
708,2022-12-13 07,455.8
621,2022-12-13 08,455.49
565,2022-12-13 09,451.91
456,2022-12-13 10,453.0
1697,2022-12-16 04,454.9
1616,2022-12-16 05,449.97
1489,2022-12-16 06,447.94
1394,2022-12-16 09,451.88
1320,2022-12-16 10,449.0
1158,2022-12-16 11,451.99
1083,2022-12-16 12,450.52
1948,2022-12-19 04,449.44
1919,2022-12-19 05,447.6
1880,2022-12-19 06,448.0
1837,2022-12-19 07,445.0
1800,2022-12-19 08,444.0
1772,2022-12-19 09,443.5
1733,2022-12-19 10,441.5
1698,2022-12-19 11,441.66
3032,2022-12-20 04,445.88
3001,2022-12-20 05,440.01
2949,2022-12-20 06,437.15
2764,2022-12-20 07,426.88
2652,2022-12-20 08,430.02
2424,2022-12-20 09,428.99
2128,2022-12-20 10,411.89
1950,2022-12-20 11,422.15
3986,2022-12-21 04,424.0
3915,2022-12-21 05,425.97
3713,2022-12-21 06,431.9
3614,2022-12-21 07,430.01
3527,2022-12-21 08,431.99
3301,2022-12-21 09,432.82
3124,2022-12-21 10,431.5
