,Date,Value
87,2022-12-12 04,1670.0
79,2022-12-12 05,1672.0
60,2022-12-12 06,1672.0
49,2022-12-12 07,1672.75
31,2022-12-12 08,1671.0
24,2022-12-12 09,1672.99
8,2022-12-12 10,1674.0
178,2022-12-16 04,1650.0
174,2022-12-16 05,1651.0
153,2022-12-16 06,1660.0
145,2022-12-16 07,1660.0
144,2022-12-16 09,1660.0
135,2022-12-16 10,1657.0
103,2022-12-16 11,1659.0
256,2022-12-19 04,1655.0
245,2022-12-19 05,1645.0
231,2022-12-19 06,1648.0
220,2022-12-19 07,1645.0
201,2022-12-19 08,1639.0
190,2022-12-19 09,1640.0
185,2022-12-19 10,1640.0
450,2022-12-20 04,1639.0
438,2022-12-20 05,1629.9
392,2022-12-20 06,1617.0
350,2022-12-20 07,1615.0
317,2022-12-20 08,1614.99
308,2022-12-20 09,1615.0
278,2022-12-20 10,1613.99
583,2022-12-21 04,1613.0
577,2022-12-21 05,1615.0
562,2022-12-21 06,1619.0
533,2022-12-21 07,1619.99
526,2022-12-21 08,1616.0
524,2022-12-21 09,1614.0
478,2022-12-21 10,1590.0
455,2022-12-21 11,1590.45
