,Date,Value
264,2022-12-12 04,117.98
250,2022-12-12 05,117.8
185,2022-12-12 06,118.0
144,2022-12-12 07,118.0
121,2022-12-12 08,117.94
83,2022-12-12 09,117.75
55,2022-12-12 10,117.8
3,2022-12-12 11,117.12
468,2022-12-16 04,118.64
420,2022-12-16 05,117.5
395,2022-12-16 06,117.5
370,2022-12-16 09,117.6
350,2022-12-16 10,117.45
282,2022-12-16 11,117.28
265,2022-12-16 12,117.17
686,2022-12-19 04,118.25
653,2022-12-19 05,117.97
620,2022-12-19 06,117.3
604,2022-12-19 07,117.0
572,2022-12-19 08,117.15
554,2022-12-19 09,117.0
513,2022-12-19 10,117.0
1088,2022-12-20 04,117.8
1081,2022-12-20 05,116.75
1036,2022-12-20 06,117.0
975,2022-12-20 07,116.84
926,2022-12-20 08,116.8
857,2022-12-20 09,116.7
755,2022-12-20 10,115.4
687,2022-12-20 11,115.59
1644,2022-12-21 04,115.89
1604,2022-12-21 05,115.79
1537,2022-12-21 06,115.7
1492,2022-12-21 07,115.55
1459,2022-12-21 08,114.9
1354,2022-12-21 09,113.0
1190,2022-12-21 10,112.5
1092,2022-12-21 11,111.63
