,Date,Value
220,2022-12-12 04,106.0
191,2022-12-12 05,105.5
163,2022-12-12 06,105.1
118,2022-12-12 07,105.39
72,2022-12-12 08,105.5
51,2022-12-12 09,105.31
23,2022-12-12 10,105.49
703,2022-12-16 04,105.0
631,2022-12-16 05,104.79
593,2022-12-16 06,104.5
491,2022-12-16 09,104.0
441,2022-12-16 10,104.36
267,2022-12-16 11,105.0
1707,2022-12-19 04,106.8
1671,2022-12-19 05,105.0
1510,2022-12-19 06,105.2
1311,2022-12-19 07,105.56
1111,2022-12-19 08,105.6
983,2022-12-19 09,106.3
903,2022-12-19 10,106.2
2297,2022-12-20 04,106.25
2256,2022-12-20 05,105.9
2197,2022-12-20 06,105.37
2127,2022-12-20 07,104.49
2018,2022-12-20 08,104.2
1939,2022-12-20 09,104.0
1810,2022-12-20 10,103.5
1709,2022-12-20 11,106.29
2701,2022-12-21 04,104.0
2652,2022-12-21 05,105.5
2543,2022-12-21 06,105.2
2477,2022-12-21 07,105.0
2447,2022-12-21 08,104.99
2406,2022-12-21 09,104.75
2360,2022-12-21 10,104.0
2302,2022-12-21 11,103.89
