,Date,Value
298,2022-12-12 04,23.57
281,2022-12-12 05,23.68
241,2022-12-12 06,23.5
189,2022-12-12 07,23.41
145,2022-12-12 08,23.5
103,2022-12-12 09,23.5
67,2022-12-12 10,23.4
12,2022-12-12 11,23.39
684,2022-12-16 04,22.85
654,2022-12-16 05,22.81
616,2022-12-16 06,22.81
571,2022-12-16 09,22.9
550,2022-12-16 10,22.88
387,2022-12-16 11,22.8
301,2022-12-16 12,22.81
1035,2022-12-19 04,23.0
1014,2022-12-19 05,22.8
977,2022-12-19 06,22.65
931,2022-12-19 07,22.56
826,2022-12-19 08,22.34
807,2022-12-19 09,22.4
756,2022-12-19 10,22.3
686,2022-12-19 11,22.29
1911,2022-12-20 04,22.45
1891,2022-12-20 05,22.2
1724,2022-12-20 06,22.4
1594,2022-12-20 07,22.25
1538,2022-12-20 08,22.21
1457,2022-12-20 09,22.15
1279,2022-12-20 10,21.58
1038,2022-12-20 11,22.75
2383,2022-12-21 04,22.2
2321,2022-12-21 05,22.68
2202,2022-12-21 06,22.45
2143,2022-12-21 07,22.55
2121,2022-12-21 08,22.52
2061,2022-12-21 09,22.3
2008,2022-12-21 10,22.29
1917,2022-12-21 11,22.08
