,Date,Value
768,2022-12-12 04,72.15
616,2022-12-12 05,71.96
375,2022-12-12 06,71.99
305,2022-12-12 07,72.4
250,2022-12-12 08,72.35
181,2022-12-12 09,72.25
79,2022-12-12 10,72.1
1,2022-12-12 11,72.1
1516,2022-12-13 04,72.1
1437,2022-12-13 05,72.2
1352,2022-12-13 06,72.3
1274,2022-12-13 07,71.95
1126,2022-12-13 08,71.9
1029,2022-12-13 09,72.0
914,2022-12-13 10,71.75
774,2022-12-13 11,71.59
2206,2022-12-16 04,72.37
2108,2022-12-16 05,72.25
2028,2022-12-16 06,72.06
1952,2022-12-16 09,71.2
1874,2022-12-16 10,71.95
1652,2022-12-16 11,72.6
1517,2022-12-16 12,72.52
3016,2022-12-19 04,72.38
2898,2022-12-19 05,71.98
2729,2022-12-19 06,71.8
2645,2022-12-19 07,71.99
2547,2022-12-19 08,71.6
2415,2022-12-19 09,72.3
2299,2022-12-19 10,71.72
2214,2022-12-19 11,71.74
4362,2022-12-20 04,72.0
4260,2022-12-20 05,71.75
4018,2022-12-20 06,71.75
3796,2022-12-20 07,71.15
3630,2022-12-20 08,71.4
3474,2022-12-20 09,71.09
3202,2022-12-20 10,69.73
3021,2022-12-20 11,70.14
5189,2022-12-21 04,69.6
5052,2022-12-21 05,70.65
4870,2022-12-21 06,70.45
4782,2022-12-21 07,70.32
4720,2022-12-21 08,70.2
4660,2022-12-21 09,70.12
4496,2022-12-21 10,69.6
4366,2022-12-21 11,69.77
