,Date,Value
114,2022-12-12 04,15.1
102,2022-12-12 05,15.05
78,2022-12-12 06,15.07
68,2022-12-12 07,15.1
61,2022-12-12 08,15.1
58,2022-12-12 09,15.1
35,2022-12-12 10,15.04
272,2022-12-16 04,14.55
253,2022-12-16 05,14.75
235,2022-12-16 06,14.65
227,2022-12-16 09,14.6
215,2022-12-16 10,14.63
154,2022-12-16 11,14.67
467,2022-12-19 04,14.55
465,2022-12-19 05,14.6
443,2022-12-19 06,14.6
415,2022-12-19 07,14.5
396,2022-12-19 08,14.49
388,2022-12-19 09,14.43
336,2022-12-19 10,14.4
983,2022-12-20 04,14.51
961,2022-12-20 05,14.51
884,2022-12-20 06,14.37
824,2022-12-20 07,14.2
780,2022-12-20 08,14.2
722,2022-12-20 09,13.75
637,2022-12-20 10,13.63
471,2022-12-20 11,13.68
1464,2022-12-21 04,13.83
1411,2022-12-21 05,13.73
1359,2022-12-21 06,13.66
1328,2022-12-21 07,13.78
1314,2022-12-21 08,13.61
1237,2022-12-21 09,13.21
1095,2022-12-21 10,12.94
