,Date,Value
430,2022-12-12 04,55.9
386,2022-12-12 05,54.99
294,2022-12-12 06,54.45
254,2022-12-12 07,54.0
179,2022-12-12 08,55.1
131,2022-12-12 09,54.52
88,2022-12-12 10,54.3
2,2022-12-12 11,54.64
787,2022-12-16 04,53.25
739,2022-12-16 05,52.99
696,2022-12-16 06,52.81
655,2022-12-16 09,53.0
626,2022-12-16 10,52.8
525,2022-12-16 11,53.4
432,2022-12-16 12,53.15
1051,2022-12-19 04,53.15
1020,2022-12-19 05,52.31
993,2022-12-19 06,52.56
969,2022-12-19 07,52.15
910,2022-12-19 08,52.0
882,2022-12-19 09,52.25
827,2022-12-19 10,51.94
1691,2022-12-20 04,51.98
1643,2022-12-20 05,51.15
1522,2022-12-20 06,50.55
1417,2022-12-20 07,49.7
1332,2022-12-20 08,49.57
1242,2022-12-20 09,48.7
1154,2022-12-20 10,48.17
1058,2022-12-20 11,48.54
2233,2022-12-21 04,48.5
2162,2022-12-21 05,49.05
2051,2022-12-21 06,48.99
2001,2022-12-21 07,48.91
1967,2022-12-21 08,49.2
1907,2022-12-21 09,48.75
1824,2022-12-21 10,47.9
1693,2022-12-21 11,47.71
