,Date,Value
211,2022-12-12 04,416.95
201,2022-12-12 05,415.0
151,2022-12-12 06,414.98
128,2022-12-12 07,415.0
114,2022-12-12 08,415.0
94,2022-12-12 09,415.0
51,2022-12-12 10,415.0
7,2022-12-12 11,414.18
428,2022-12-16 04,405.0
410,2022-12-16 05,403.0
367,2022-12-16 06,404.75
324,2022-12-16 09,405.98
308,2022-12-16 10,403.49
245,2022-12-16 11,405.0
589,2022-12-19 04,407.49
563,2022-12-19 05,403.9
534,2022-12-19 06,404.88
517,2022-12-19 07,403.49
486,2022-12-19 08,402.99
470,2022-12-19 09,402.0
448,2022-12-19 10,402.0
979,2022-12-20 04,401.0
976,2022-12-20 05,401.0
919,2022-12-20 06,400.01
817,2022-12-20 07,396.5
782,2022-12-20 08,400.0
756,2022-12-20 09,398.1
656,2022-12-20 10,394.6
590,2022-12-20 11,394.77
1307,2022-12-21 04,394.77
1283,2022-12-21 05,398.5
1191,2022-12-21 06,401.0
1166,2022-12-21 07,402.5
1145,2022-12-21 08,400.99
1105,2022-12-21 09,397.98
1006,2022-12-21 10,392.01
982,2022-12-21 11,394.6
