,Date,Value
770,2022-12-12 04,56.1
628,2022-12-12 05,56.05
459,2022-12-12 06,56.0
316,2022-12-12 07,56.3
228,2022-12-12 08,56.3
162,2022-12-12 09,56.13
102,2022-12-12 10,56.24
7,2022-12-12 11,56.3
1396,2022-12-13 04,56.25
1306,2022-12-13 05,56.03
1164,2022-12-13 06,56.25
1082,2022-12-13 07,56.14
985,2022-12-13 08,56.0
896,2022-12-13 09,56.1
849,2022-12-13 10,55.8
774,2022-12-13 11,55.83
2269,2022-12-16 04,54.8
2105,2022-12-16 05,55.26
2026,2022-12-16 06,55.32
1964,2022-12-16 09,55.38
1889,2022-12-16 10,55.25
1560,2022-12-16 11,56.1
1400,2022-12-16 12,55.93
3648,2022-12-19 04,55.21
3362,2022-12-19 05,55.98
3102,2022-12-19 06,56.24
2934,2022-12-19 07,56.26
2636,2022-12-19 08,55.59
2544,2022-12-19 09,56.1
2454,2022-12-19 10,55.49
2274,2022-12-19 11,55.06
4770,2022-12-20 04,54.75
4680,2022-12-20 05,54.52
4523,2022-12-20 06,54.8
4357,2022-12-20 07,55.46
4109,2022-12-20 08,55.2
4016,2022-12-20 09,54.0
3842,2022-12-20 10,53.7
3653,2022-12-20 11,53.39
5667,2022-12-21 04,52.99
5538,2022-12-21 05,53.5
5402,2022-12-21 06,53.6
5261,2022-12-21 07,53.8
5149,2022-12-21 08,53.55
5102,2022-12-21 09,53.15
4968,2022-12-21 10,52.1
4779,2022-12-21 11,51.73
