,Date,Value
674,2022-12-12 04,145.8
632,2022-12-12 05,145.7
488,2022-12-12 06,143.9
335,2022-12-12 07,143.0
272,2022-12-12 08,143.5
214,2022-12-12 09,143.0
129,2022-12-12 10,143.18
9,2022-12-12 11,143.09
1230,2022-12-16 04,139.75
1137,2022-12-16 05,138.45
1073,2022-12-16 06,138.55
1030,2022-12-16 09,138.0
937,2022-12-16 10,138.0
795,2022-12-16 11,138.99
1570,2022-12-19 04,138.51
1525,2022-12-19 05,137.99
1474,2022-12-19 06,137.4
1442,2022-12-19 07,137.26
1382,2022-12-19 08,136.99
1352,2022-12-19 09,137.11
1326,2022-12-19 10,137.05
1235,2022-12-19 11,138.41
2894,2022-12-20 04,138.0
2875,2022-12-20 05,138.0
2725,2022-12-20 06,135.99
2576,2022-12-20 07,133.9
2408,2022-12-20 08,133.7
2162,2022-12-20 09,130.5
1841,2022-12-20 10,128.03
1574,2022-12-20 11,128.3
3860,2022-12-21 04,128.2
3774,2022-12-21 05,128.97
3623,2022-12-21 06,128.0
3518,2022-12-21 07,128.39
3457,2022-12-21 08,128.35
3392,2022-12-21 09,127.5
3041,2022-12-21 10,122.5
2900,2022-12-21 11,124.4
