,Date,Value
427,2022-12-12 04,485.0
359,2022-12-12 05,487.88
285,2022-12-12 06,487.0
246,2022-12-12 07,489.1
193,2022-12-12 08,489.5
145,2022-12-12 09,487.0
79,2022-12-12 10,488.0
1628,2022-12-16 04,501.5
1417,2022-12-16 05,508.99
1207,2022-12-16 06,512.0
1002,2022-12-16 09,514.77
845,2022-12-16 10,511.95
569,2022-12-16 11,514.0
430,2022-12-16 12,514.9
2472,2022-12-19 04,514.44
2294,2022-12-19 05,516.12
2060,2022-12-19 06,513.75
1988,2022-12-19 07,513.99
1839,2022-12-19 08,511.9
1800,2022-12-19 09,511.88
1731,2022-12-19 10,511.75
1635,2022-12-19 11,509.76
3911,2022-12-20 04,512.9
3849,2022-12-20 05,506.0
3578,2022-12-20 06,503.78
3292,2022-12-20 07,495.5
3061,2022-12-20 08,494.98
2899,2022-12-20 09,491.98
2640,2022-12-20 10,489.98
2474,2022-12-20 11,492.82
4594,2022-12-21 04,489.0
4487,2022-12-21 05,497.89
4331,2022-12-21 06,497.0
4276,2022-12-21 07,497.0
4182,2022-12-21 08,497.98
4116,2022-12-21 09,497.49
4014,2022-12-21 10,492.3
3913,2022-12-21 11,490.2
