,Date,Value
1006,2022-12-12 04,16.26
907,2022-12-12 05,16.17
636,2022-12-12 06,15.88
444,2022-12-12 07,15.98
315,2022-12-12 08,16.0
226,2022-12-12 09,15.93
87,2022-12-12 10,15.93
1,2022-12-12 11,15.88
2118,2022-12-16 04,15.89
1987,2022-12-16 05,15.45
1762,2022-12-16 06,15.42
1588,2022-12-16 09,15.4
1409,2022-12-16 10,15.18
1139,2022-12-16 11,15.39
1010,2022-12-16 12,15.34
3129,2022-12-19 04,15.37
3056,2022-12-19 05,15.1
2924,2022-12-19 06,15.13
2859,2022-12-19 07,15.05
2637,2022-12-19 08,14.72
2532,2022-12-19 09,14.75
2397,2022-12-19 10,14.65
2121,2022-12-19 11,14.97
4316,2022-12-20 04,14.92
4224,2022-12-20 05,14.71
3956,2022-12-20 06,14.53
3817,2022-12-20 07,14.41
3691,2022-12-20 08,14.46
3577,2022-12-20 09,14.11
3332,2022-12-20 10,13.85
5460,2022-12-21 04,13.94
5309,2022-12-21 05,14.08
5094,2022-12-21 06,14.15
5006,2022-12-21 07,14.1
4946,2022-12-21 08,14.03
4894,2022-12-21 09,13.9
4583,2022-12-21 10,13.13
4320,2022-12-21 11,13.58
