,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,175.5,176.5,166.25,168.42,3245659
16,2022-07-04,168.5,168.5,163.6,165.91,783190
15,2022-07-05,166.4,167.12,163.4,164.04,1161001
14,2022-07-06,164.0,166.5,162.11,162.81,539783
13,2022-07-07,161.7,162.99,156.3,157.6,2469053
12,2022-07-13,157.0,163.88,153.75,162.11,1046138
11,2022-07-14,164.31,165.0,161.0,162.11,1064740
10,2022-07-15,160.5,161.45,155.61,156.2,1316402
9,2022-07-18,153.0,153.0,148.0,149.14,1272935
8,2022-07-19,149.55,151.99,139.7,142.2,3303596
7,2022-07-20,141.45,143.49,139.1,140.69,1499847
6,2022-07-21,140.75,142.24,134.4,135.24,1597263
5,2022-07-22,136.15,141.0,133.01,139.92,1445948
4,2022-07-25,138.0,141.2,137.01,140.07,569397
3,2022-07-26,139.0,142.2,138.6,140.56,1157460
2,2022-07-27,141.0,141.5,137.5,139.08,1638030
1,2022-07-28,139.01,143.5,138.16,138.82,2015710
0,2022-07-29,139.0,139.75,135.02,135.92,937047
38,2022-08-01,136.98,136.98,132.2,132.99,583507
37,2022-08-02,130.11,139.9,130.0,138.83,2344398
36,2022-08-03,140.9,145.9,140.61,144.69,2963668
35,2022-08-04,146.0,146.5,141.62,142.23,1618975
34,2022-08-05,142.48,152.89,139.81,152.36,4516601
33,2022-08-10,154.6,158.25,151.11,155.65,4570851
32,2022-08-11,155.6,158.15,153.2,154.88,2992302
31,2022-08-12,155.5,165.0,154.2,163.88,4985472
30,2022-08-15,165.5,169.5,162.65,167.96,5784851
29,2022-08-16,169.0,169.0,158.0,160.23,7051697
28,2022-08-17,159.0,162.3,157.0,159.24,2188821
27,2022-08-18,162.0,170.0,162.0,166.92,6670595
26,2022-08-19,161.5,165.75,158.92,164.77,2989084
25,2022-08-22,162.14,163.25,160.5,161.57,1450287
24,2022-08-23,164.8,165.97,161.8,163.78,1497456
23,2022-08-24,164.0,164.8,161.75,164.07,1364116
22,2022-08-25,164.45,164.5,161.6,164.11,1564108
21,2022-08-26,164.11,166.75,163.13,163.48,1748970
20,2022-08-29,161.99,161.99,156.2,160.13,2206566
19,2022-08-30,164.0,164.5,157.0,158.1,1417294
18,2022-08-31,158.0,159.94,157.6,158.85,564705
60,2022-09-01,159.5,162.5,158.85,160.15,1371096
59,2022-09-02,160.7,161.97,158.05,158.45,1062997
58,2022-09-05,158.0,161.2,155.2,155.68,1140458
57,2022-09-06,155.99,157.95,155.0,157.34,576757
56,2022-09-07,158.49,160.48,157.9,158.31,1056512
55,2022-09-08,160.0,160.5,157.2,158.31,781766
54,2022-09-09,159.45,159.97,157.01,157.82,905430
53,2022-09-12,150.0,150.4,147.82,148.51,384417
52,2022-09-13,148.86,149.85,147.53,148.13,295356
51,2022-09-14,146.13,150.0,145.51,149.29,617666
50,2022-09-15,150.5,153.61,149.61,150.1,1290770
49,2022-09-16,149.9,152.65,148.8,149.84,797910
48,2022-09-19,149.0,150.7,147.25,147.67,383279
47,2022-09-20,148.0,148.99,145.21,145.73,471233
46,2022-09-21,146.45,147.1,140.0,141.82,753892
45,2022-09-22,140.5,142.25,136.99,141.7,909602
44,2022-09-23,142.25,142.97,137.0,137.8,737935
43,2022-09-26,138.0,147.97,138.0,146.27,2255533
42,2022-09-27,148.25,149.7,145.6,147.2,1477173
41,2022-09-28,148.31,151.84,146.4,147.09,3200655
