,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,59.49,60.75,58.0,59.83,499219
16,2022-07-04,60.8,60.8,58.5,58.94,38706
15,2022-07-05,59.9,59.9,57.99,58.07,51922
14,2022-07-06,58.22,58.98,57.6,58.06,144321
13,2022-07-07,58.5,58.5,57.4,58.0,46184
12,2022-07-13,58.0,60.5,57.31,58.5,772095
11,2022-07-14,59.9,60.25,58.65,59.95,73117
10,2022-07-15,60.0,60.3,58.65,59.15,614088
9,2022-07-18,57.5,59.0,57.45,57.8,45592
8,2022-07-19,57.7,58.5,56.5,57.08,179308
7,2022-07-20,57.99,58.99,55.57,58.47,178203
6,2022-07-21,59.99,60.0,57.25,58.23,397363
5,2022-07-22,57.6,59.8,57.5,57.85,239844
4,2022-07-25,58.0,58.0,54.11,55.92,28531
3,2022-07-26,55.03,56.89,55.03,55.93,42598
2,2022-07-27,56.4,56.99,56.0,56.57,83545
1,2022-07-28,56.59,59.0,56.59,58.56,561916
0,2022-07-29,57.9,58.98,57.52,57.52,7468
38,2022-08-01,58.5,58.5,57.0,57.2,105991
37,2022-08-02,58.0,60.0,56.98,57.05,964566
36,2022-08-03,57.5,58.38,57.15,57.34,499159
35,2022-08-04,57.99,58.0,57.05,57.23,239571
34,2022-08-05,57.8,59.0,57.2,58.3,184228
33,2022-08-10,58.5,59.45,58.0,58.24,230405
32,2022-08-11,58.75,58.75,57.56,57.58,302671
31,2022-08-12,57.5,58.9,57.5,58.01,507461
30,2022-08-15,58.95,61.0,57.91,59.94,995438
29,2022-08-16,59.95,60.75,59.95,60.01,1015780
28,2022-08-17,61.5,61.5,60.0,60.66,574976
27,2022-08-18,60.01,61.0,59.05,60.07,979484
26,2022-08-19,61.0,61.0,59.0,60.02,99737
25,2022-08-22,60.05,60.05,59.0,59.24,32593
24,2022-08-23,59.0,61.44,59.0,59.23,73210
23,2022-08-24,60.2,60.21,58.7,59.64,149028
22,2022-08-25,59.98,59.98,58.3,58.77,641437
21,2022-08-26,58.26,59.99,57.52,58.08,136321
20,2022-08-29,58.48,58.9,57.36,58.66,19797
19,2022-08-30,59.9,59.9,57.2,57.25,430701
18,2022-08-31,57.25,57.25,55.25,55.93,4622794
60,2022-09-01,56.49,56.65,55.93,56.09,90124
59,2022-09-02,56.15,56.75,56.0,56.34,157705
58,2022-09-05,56.02,56.4,56.0,56.0,51162
57,2022-09-06,56.5,56.5,55.5,56.5,21165
56,2022-09-07,56.2,56.95,56.2,56.75,52308
55,2022-09-08,56.99,56.99,56.03,56.23,65094
54,2022-09-09,56.88,57.38,56.2,56.36,689
53,2022-09-12,56.5,56.9,56.0,56.25,22364
52,2022-09-13,56.0,56.4,55.8,56.18,109736
51,2022-09-14,56.65,56.69,56.01,56.04,346719
50,2022-09-15,56.0,56.4,55.99,56.01,1364156
49,2022-09-16,56.01,56.44,55.0,55.09,713501
48,2022-09-19,55.99,56.0,55.0,55.47,137598
47,2022-09-20,55.45,56.45,55.25,56.13,163061
