,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,93.45,93.45,91.0,91.08,97773
16,2022-07-04,91.95,91.95,89.0,89.35,86450
15,2022-07-05,88.0,90.8,87.7,88.24,57499
14,2022-07-06,89.95,91.0,87.85,88.0,165138
13,2022-07-07,88.0,89.01,87.0,88.44,185299
12,2022-07-13,87.2,90.3,86.25,89.57,574392
11,2022-07-14,90.0,93.9,88.8,93.28,576797
10,2022-07-15,92.15,94.5,90.1,91.34,417875
9,2022-07-18,88.94,90.01,87.0,87.59,241800
8,2022-07-19,88.49,89.84,81.25,81.96,383774
7,2022-07-20,82.1,82.1,78.05,79.25,458409
6,2022-07-21,79.8,79.8,75.55,76.32,154891
5,2022-07-22,77.0,81.0,74.55,79.76,276188
4,2022-07-25,76.1,79.7,76.1,79.48,43760
3,2022-07-26,78.0,81.0,77.6,79.45,120659
2,2022-07-27,79.44,79.99,77.95,79.55,58888
1,2022-07-28,79.99,82.49,78.99,79.16,184594
0,2022-07-29,80.49,80.49,77.11,77.88,108000
38,2022-08-01,76.33,78.8,76.05,77.73,33987
37,2022-08-02,78.0,81.5,75.26,79.13,292960
36,2022-08-03,79.0,85.06,79.0,85.06,361087
35,2022-08-04,87.0,90.7,87.0,90.17,580642
34,2022-08-05,92.0,96.93,91.0,96.93,1587673
33,2022-08-10,97.0,99.5,95.5,98.51,690501
32,2022-08-11,97.0,98.75,96.5,97.0,187756
31,2022-08-12,97.06,99.25,96.5,99.07,341515
30,2022-08-15,98.72,105.0,98.72,104.19,407716
29,2022-08-16,104.97,105.98,103.0,103.1,427723
28,2022-08-17,101.11,106.98,101.11,105.66,212737
27,2022-08-18,105.75,109.24,104.55,105.4,267947
26,2022-08-19,105.0,105.5,103.1,103.97,89936
25,2022-08-22,106.5,106.5,99.5,99.96,199247
24,2022-08-23,101.51,104.47,101.5,103.31,365194
23,2022-08-24,104.4,104.4,101.5,102.47,223478
22,2022-08-25,103.66,106.49,101.55,104.79,444574
21,2022-08-26,104.66,105.5,100.5,101.2,345282
20,2022-08-29,103.0,103.0,98.0,102.08,379543
19,2022-08-30,103.99,104.85,99.25,99.94,382616
18,2022-08-31,99.01,103.2,99.0,102.09,512572
60,2022-09-01,102.97,109.74,102.5,108.99,1703885
59,2022-09-02,108.98,111.11,107.2,108.35,539578
58,2022-09-05,107.0,110.5,104.62,105.78,451542
57,2022-09-06,106.45,106.69,104.12,105.67,242219
56,2022-09-07,106.88,106.88,104.9,105.95,169108
55,2022-09-08,107.44,113.89,107.01,113.88,1225731
54,2022-09-09,115.0,121.0,114.9,116.34,1156779
53,2022-09-12,118.0,118.0,113.6,113.89,317086
52,2022-09-13,114.0,117.95,114.0,117.22,907624
51,2022-09-14,116.5,117.5,114.5,115.25,471062
50,2022-09-15,115.8,116.6,110.55,111.61,529536
49,2022-09-16,110.15,113.87,109.06,112.5,738728
48,2022-09-19,111.15,113.45,111.15,112.63,88499
47,2022-09-20,112.5,114.5,112.0,113.44,291202
46,2022-09-21,114.01,115.5,112.84,113.33,337429
45,2022-09-22,111.0,114.5,109.15,113.85,603603
44,2022-09-23,115.0,115.3,109.5,110.84,243093
43,2022-09-26,112.0,118.2,112.0,115.72,1000306
42,2022-09-27,116.85,119.0,115.0,116.1,1800782
41,2022-09-28,116.2,117.3,114.56,115.26,830302
40,2022-09-29,116.2,116.39,113.5,115.26,1276084
39,2022-09-30,114.5,117.9,113.01,115.57,2534133
81,2022-10-03,112.57,113.5,110.25,111.17,645709
80,2022-10-04,111.17,114.45,109.0,113.17,633753
79,2022-10-05,114.5,121.65,113.88,121.44,2024331
78,2022-10-06,123.51,126.49,122.0,122.18,1351960
77,2022-10-07,123.0,125.5,121.75,122.31,946790
76,2022-10-10,122.0,126.5,122.0,125.91,859882
75,2022-10-11,125.75,125.75,122.55,123.13,420433
74,2022-10-12,122.01,125.5,121.99,123.38,368896
73,2022-10-13,123.0,124.11,121.5,122.34,316393
72,2022-10-14,123.0,124.85,121.5,121.75,198622
71,2022-10-17,120.56,122.0,118.9,119.3,129376
70,2022-10-18,121.0,122.38,119.48,120.09,417902
69,2022-10-19,121.45,126.85,120.5,125.94,1268229
68,2022-10-20,126.4,126.74,122.5,123.31,359973
67,2022-10-21,122.9,124.0,120.2,123.32,306302
66,2022-10-24,125.0,125.8,122.05,122.48,125843
65,2022-10-25,123.25,123.5,119.01,120.17,118238
64,2022-10-26,119.01,119.84,115.26,118.5,466337
63,2022-10-27,117.25,124.0,117.25,123.41,1199566
62,2022-10-28,123.41,123.41,118.5,120.19,375879
61,2022-10-31,122.0,122.5,119.99,121.25,124558
102,2022-11-01,124.99,125.44,122.63,124.91,1075563
101,2022-11-02,124.95,128.85,123.08,128.07,1092616
100,2022-11-03,128.5,131.39,126.7,128.75,707976
99,2022-11-04,125.9,129.95,125.06,125.89,495438
98,2022-11-07,127.05,128.11,125.61,125.79,201406
97,2022-11-08,127.5,130.95,127.5,129.97,1094259
96,2022-11-10,130.95,132.2,129.5,130.51,1378925
95,2022-11-11,130.79,130.9,129.0,129.49,192636
94,2022-11-14,128.5,128.9,126.4,126.69,209286
93,2022-11-15,127.0,128.2,125.01,125.9,395645
92,2022-11-16,126.9,126.9,124.0,124.46,97371
91,2022-11-17,124.99,126.8,124.0,124.32,224388
90,2022-11-18,124.95,127.0,123.75,126.26,204722
89,2022-11-21,127.2,127.2,125.06,125.69,65228
88,2022-11-22,126.44,127.4,125.25,125.55,196823
87,2022-11-23,126.45,126.5,125.25,125.89,52558
86,2022-11-24,125.5,127.85,125.1,126.42,419997
85,2022-11-25,126.99,127.74,125.28,125.78,529480
84,2022-11-28,121.05,121.99,116.35,116.35,1398590
83,2022-11-29,115.0,116.69,112.5,115.83,945959
82,2022-11-30,116.44,117.5,115.14,117.07,119921
124,2022-12-01,117.87,117.87,114.5,115.07,221694
123,2022-12-02,114.11,115.5,110.51,112.04,435748
122,2022-12-05,112.88,112.9,103.64,103.67,804315
121,2022-12-06,104.0,104.11,99.5,102.51,950369
120,2022-12-07,103.88,105.6,102.6,104.52,560607
119,2022-12-08,105.65,105.65,100.11,102.34,605602
118,2022-12-09,102.9,103.91,102.01,103.21,135793
117,2022-12-12,103.75,103.75,101.01,101.61,134210
116,2022-12-13,102.0,103.5,101.0,102.46,100498
115,2022-12-14,101.7,102.99,100.25,100.83,111139
114,2022-12-15,101.0,103.89,97.0,100.4,1268021
113,2022-12-16,97.1,104.2,97.1,103.2,1046976
112,2022-12-19,102.6,104.55,100.62,103.79,321598
111,2022-12-20,105.0,105.0,96.2,97.11,587728
110,2022-12-21,97.11,99.94,96.5,96.88,246507
109,2022-12-22,97.0,100.94,93.1,99.49,304220
108,2022-12-23,99.98,99.98,96.1,96.93,179312
107,2022-12-26,99.93,100.89,97.6,99.68,201235
106,2022-12-27,93.52,102.3,93.52,101.07,153314
105,2022-12-28,101.5,101.5,99.0,99.55,71231
104,2022-12-29,101.99,101.99,98.21,101.05,162904
103,2022-12-30,96.71,103.0,96.71,101.9,305245
