,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
14,2022-07-04,92.02,92.02,92.01,92.01,1000
13,2022-07-05,93.0,93.5,92.0,93.5,25500
12,2022-07-07,93.97,93.97,93.97,93.97,500
11,2022-07-13,92.75,94.25,92.75,94.02,27500
10,2022-07-14,94.5,97.0,94.5,96.88,130000
9,2022-07-15,98.0,98.0,95.55,95.98,37000
8,2022-07-18,95.4,96.5,95.35,96.02,40000
7,2022-07-19,95.4,95.4,94.0,94.52,23500
6,2022-07-20,93.5,95.0,93.5,94.03,24000
5,2022-07-21,94.03,94.03,93.0,94.0,10500
4,2022-07-22,93.6,94.75,93.5,94.08,114500
3,2022-07-25,92.2,92.2,91.0,91.78,5000
2,2022-07-27,92.0,93.0,92.0,92.58,13500
1,2022-07-28,92.5,95.98,92.5,94.05,714500
0,2022-07-29,95.98,95.99,94.0,94.0,29000
34,2022-08-01,93.9,94.0,93.5,94.0,15000
33,2022-08-02,93.0,93.0,93.0,93.0,6500
32,2022-08-03,93.5,95.5,93.5,95.0,20000
31,2022-08-04,93.6,96.0,93.6,94.53,6000
30,2022-08-05,95.0,95.89,94.3,95.53,20500
29,2022-08-10,95.1,95.2,95.1,95.1,7000
28,2022-08-11,94.1,95.0,94.0,94.43,11500
27,2022-08-12,94.51,96.0,94.5,95.4,4500
26,2022-08-15,96.0,97.0,96.0,97.0,9500
25,2022-08-16,96.25,97.0,96.25,97.0,3000
24,2022-08-17,96.51,97.0,96.5,97.0,13500
23,2022-08-18,96.11,96.5,95.5,96.5,14000
22,2022-08-22,95.0,100.0,95.0,97.93,43000
21,2022-08-23,97.5,101.0,97.5,100.13,41000
20,2022-08-24,99.94,102.49,96.5,97.99,46500
19,2022-08-25,99.77,99.77,97.0,97.0,2500
18,2022-08-26,96.5,98.0,96.03,96.99,15000
17,2022-08-29,96.11,96.11,95.99,96.0,11000
16,2022-08-30,96.99,97.5,96.16,97.18,20000
15,2022-08-31,92.0,92.68,90.0,90.89,32000
56,2022-09-01,91.5,92.0,91.1,92.0,6000
55,2022-09-02,91.8,91.8,90.71,90.71,2500
54,2022-09-05,90.71,91.0,89.52,90.86,13500
53,2022-09-06,90.02,95.99,89.52,91.71,23500
52,2022-09-07,92.5,92.51,92.5,92.5,3500
51,2022-09-08,91.55,93.5,91.0,92.07,21000
