,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,62.4,62.4,60.9,61.16,684364
16,2022-07-04,61.5,61.5,58.4,58.62,1969676
15,2022-07-05,58.99,59.25,57.7,57.94,327591
14,2022-07-06,58.75,59.2,57.26,57.58,1473456
13,2022-07-07,57.41,58.24,57.06,57.69,575265
12,2022-07-13,57.01,58.7,56.13,58.24,2610672
11,2022-07-14,59.05,60.55,58.41,60.25,3329798
10,2022-07-15,60.49,60.99,58.4,58.74,2369585
9,2022-07-18,57.5,57.95,55.23,55.8,2222184
8,2022-07-19,56.11,56.94,53.67,54.3,1577035
7,2022-07-20,53.5,55.6,53.5,54.82,1091123
6,2022-07-21,54.68,55.25,53.8,54.0,1123623
5,2022-07-22,53.2,55.75,53.2,55.36,888748
4,2022-07-25,55.13,55.13,53.9,54.56,313524
3,2022-07-26,54.56,55.34,53.83,54.09,1296101
2,2022-07-27,54.25,54.6,52.3,53.09,2362165
1,2022-07-28,53.1,54.43,52.9,53.32,2211273
0,2022-07-29,53.65,53.65,52.25,52.48,733170
38,2022-08-01,52.74,53.35,52.3,52.73,611678
37,2022-08-02,52.45,54.2,52.26,53.29,825004
36,2022-08-03,53.75,57.01,53.3,56.67,3975213
35,2022-08-04,57.1,58.78,57.02,57.88,3653073
34,2022-08-05,58.32,60.98,58.05,60.4,6209551
33,2022-08-10,60.79,61.5,59.5,59.96,2586251
32,2022-08-11,59.94,60.8,59.31,59.51,1958549
31,2022-08-12,59.4,61.0,59.21,60.8,1621960
30,2022-08-15,61.6,63.9,61.19,63.48,4210797
29,2022-08-16,63.5,64.56,62.5,62.85,6156818
28,2022-08-17,63.0,65.45,62.26,64.9,5729009
27,2022-08-18,65.7,65.7,64.0,64.14,1890670
26,2022-08-19,63.99,64.15,62.9,63.14,925868
25,2022-08-22,62.9,62.9,61.25,61.53,2203249
24,2022-08-23,62.9,63.85,62.6,63.39,2913637
23,2022-08-24,63.25,63.51,61.71,61.82,1546144
22,2022-08-25,62.67,62.67,60.8,61.7,2171804
21,2022-08-26,63.39,63.39,60.3,60.55,2049919
20,2022-08-29,60.0,60.75,58.99,60.46,1475598
19,2022-08-30,61.5,61.75,58.75,59.13,2388779
18,2022-08-31,59.64,60.85,58.1,60.11,2391439
60,2022-09-01,60.9,62.95,60.5,61.83,7213498
59,2022-09-02,62.5,62.65,61.55,61.82,2953153
58,2022-09-05,62.0,62.6,59.4,60.08,3136646
57,2022-09-06,59.75,59.99,58.5,58.76,2063412
56,2022-09-07,59.0,59.56,58.12,58.45,768221
55,2022-09-08,59.0,61.0,58.5,60.82,3762038
54,2022-09-09,60.7,62.25,60.0,60.69,2831823
53,2022-09-12,60.8,61.2,60.0,60.05,486171
52,2022-09-13,60.5,61.19,59.51,60.93,2922648
51,2022-09-14,60.5,61.2,60.25,60.56,1938932
50,2022-09-15,60.88,61.1,60.2,60.34,1562003
49,2022-09-16,60.34,60.7,59.0,59.3,1357002
48,2022-09-19,59.25,59.9,58.75,58.86,644031
47,2022-09-20,59.0,59.83,58.16,58.97,1182712
46,2022-09-21,58.81,59.45,58.0,58.17,840691
45,2022-09-22,58.68,58.68,55.56,57.52,2271628
44,2022-09-23,58.0,61.0,55.61,58.69,1128044
43,2022-09-26,58.2,61.39,58.2,60.97,3698378
42,2022-09-27,61.25,62.25,60.8,61.22,2627481
41,2022-09-28,61.5,62.0,60.55,60.84,2634276
40,2022-09-29,61.0,61.73,60.3,60.68,1051240
39,2022-09-30,60.51,61.97,59.5,60.62,1839323
81,2022-10-03,60.25,60.75,59.8,60.06,675461
80,2022-10-04,60.25,61.1,59.8,60.38,1464043
79,2022-10-05,60.58,62.98,59.8,62.29,4690657
78,2022-10-06,62.88,63.49,61.7,62.05,3562829
77,2022-10-07,61.96,63.0,61.35,61.53,1821352
76,2022-10-10,62.42,62.42,61.32,62.07,1397044
75,2022-10-11,62.05,62.45,61.05,61.34,1050991
74,2022-10-12,60.75,62.15,60.52,60.87,913956
73,2022-10-13,60.19,60.84,59.65,59.86,1059285
72,2022-10-14,60.25,60.7,59.7,59.95,861707
71,2022-10-17,60.0,60.0,58.5,58.6,507948
70,2022-10-18,58.99,59.4,58.2,58.33,717290
69,2022-10-19,58.3,59.43,58.3,59.08,2539707
68,2022-10-20,59.1,60.15,58.85,58.97,1274958
67,2022-10-21,58.5,59.25,57.6,58.63,922787
66,2022-10-24,59.51,59.8,58.5,58.63,655140
65,2022-10-25,58.51,58.94,56.65,56.94,852343
64,2022-10-26,56.05,56.05,52.85,53.17,2637982
63,2022-10-27,53.0,53.85,52.86,53.35,1050090
62,2022-10-28,53.8,53.8,51.6,51.88,892994
61,2022-10-31,52.1,52.9,51.5,52.15,473556
102,2022-11-01,53.22,54.7,52.6,54.42,1833401
101,2022-11-02,54.4,54.62,53.59,54.1,875238
100,2022-11-03,53.91,55.64,53.91,54.81,2085535
99,2022-11-04,53.15,55.99,53.0,53.93,1769812
98,2022-11-07,54.25,54.88,53.91,54.09,570371
97,2022-11-08,54.66,55.6,54.55,55.25,1429153
96,2022-11-10,55.5,56.4,55.5,55.88,1699803
95,2022-11-11,56.25,56.3,55.6,55.81,675263
94,2022-11-14,55.5,55.85,55.0,55.22,439779
93,2022-11-15,55.22,55.99,54.85,55.21,494847
92,2022-11-16,54.71,55.4,54.71,54.77,322841
91,2022-11-17,55.0,55.85,54.7,54.77,703342
90,2022-11-18,54.7,55.19,54.5,54.83,297400
89,2022-11-21,54.4,55.21,54.02,54.6,554348
88,2022-11-22,54.21,55.38,54.21,55.02,758998
87,2022-11-23,55.44,55.8,54.6,54.71,620357
86,2022-11-24,54.78,55.52,54.64,55.01,725099
85,2022-11-25,55.89,55.89,53.54,53.83,998239
84,2022-11-28,52.5,52.5,50.28,50.7,2845813
83,2022-11-29,51.0,51.34,50.45,51.09,579016
82,2022-11-30,51.25,51.35,50.26,50.85,2157873
124,2022-12-01,50.98,51.25,50.53,50.8,382510
123,2022-12-02,51.04,51.04,49.9,50.06,666071
122,2022-12-05,50.43,50.43,48.4,48.75,1477948
121,2022-12-06,49.54,49.97,48.31,49.15,483413
120,2022-12-07,49.15,49.86,48.9,49.01,892564
119,2022-12-08,49.0,49.44,48.4,48.48,867122
118,2022-12-09,48.0,48.8,48.0,48.39,421339
117,2022-12-12,48.69,52.01,48.03,49.48,1693884
116,2022-12-13,49.44,49.9,49.0,49.63,515896
115,2022-12-14,49.27,50.94,48.85,50.15,933703
114,2022-12-15,50.1,50.37,48.77,49.49,689811
113,2022-12-16,49.74,50.37,49.0,49.79,400678
112,2022-12-19,49.79,51.89,49.11,49.93,1039059
111,2022-12-20,49.88,51.5,46.4,48.84,3802055
110,2022-12-21,47.5,48.99,47.2,48.14,1246376
109,2022-12-22,47.2,48.83,47.2,48.12,830727
108,2022-12-23,47.7,48.5,47.1,47.62,1765832
107,2022-12-26,47.9,49.87,47.63,49.09,1212176
106,2022-12-27,49.15,49.9,47.88,48.5,1691937
105,2022-12-28,48.8,50.75,47.35,49.33,5632062
104,2022-12-29,48.35,51.77,48.2,51.06,3403600
103,2022-12-30,51.0,52.5,49.5,51.64,4867553
