,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,90.02,91.65,90.02,90.71,1903952
16,2022-07-04,90.4,91.0,89.01,89.74,636553
15,2022-07-05,89.8,89.97,88.45,88.68,1653327
14,2022-07-06,89.49,89.49,88.45,88.65,1784127
13,2022-07-07,89.2,90.0,87.91,89.76,2396926
12,2022-07-13,89.6,89.88,88.7,89.31,971263
11,2022-07-14,90.0,91.0,89.5,90.62,1216318
10,2022-07-15,90.8,90.8,90.0,90.38,705845
9,2022-07-18,89.3,90.19,89.3,89.78,1366653
8,2022-07-19,89.75,90.0,86.75,87.75,1637769
7,2022-07-20,88.0,88.0,85.51,86.01,1997248
6,2022-07-21,85.6,86.49,82.12,82.93,2383588
5,2022-07-22,83.5,85.0,82.2,84.82,1669421
4,2022-07-25,84.49,85.9,83.9,85.6,287546
3,2022-07-26,84.8,86.85,84.8,85.64,875061
2,2022-07-27,86.44,86.51,83.1,84.01,1956832
1,2022-07-28,84.97,86.5,78.3,80.36,8106151
0,2022-07-29,79.65,80.0,78.71,79.0,3097627
38,2022-08-01,78.5,79.3,77.0,77.29,2314076
37,2022-08-02,77.0,80.9,76.5,79.52,4253520
36,2022-08-03,80.0,80.97,79.6,79.83,977458
35,2022-08-04,80.0,81.47,80.0,80.58,1254257
34,2022-08-05,80.2,80.6,79.16,80.11,1707895
33,2022-08-10,80.15,81.0,79.5,79.91,1986954
32,2022-08-11,80.0,81.0,78.05,78.53,1735239
31,2022-08-12,79.0,79.88,78.4,79.47,959333
30,2022-08-15,79.35,80.19,79.0,80.09,1295799
29,2022-08-16,80.09,80.85,80.0,80.14,2053633
28,2022-08-17,80.05,80.45,80.0,80.15,1745612
27,2022-08-18,79.99,80.38,79.75,79.99,849984
26,2022-08-19,79.7,80.45,79.6,80.05,429225
25,2022-08-22,79.56,80.0,79.01,79.5,402994
24,2022-08-23,79.59,82.1,79.59,81.89,2763194
23,2022-08-24,81.95,82.44,81.5,81.75,1694123
22,2022-08-25,81.8,81.8,81.0,81.14,994247
21,2022-08-26,81.15,81.95,80.47,80.54,1106280
20,2022-08-29,81.0,84.15,79.5,83.12,6608766
19,2022-08-30,84.39,85.0,81.8,82.08,655587
18,2022-08-31,82.08,85.0,81.53,84.09,1562697
60,2022-09-01,84.75,84.85,83.01,83.2,491356
59,2022-09-02,83.5,83.95,83.1,83.68,530962
58,2022-09-05,83.08,83.7,83.0,83.14,584030
57,2022-09-06,83.0,83.97,82.1,82.24,320823
56,2022-09-07,82.9,82.9,80.65,80.98,561902
55,2022-09-08,81.4,81.4,79.65,80.55,1888277
54,2022-09-09,80.8,81.9,80.0,81.09,7325569
53,2022-09-12,81.69,81.75,80.61,81.57,1526322
52,2022-09-13,81.07,81.79,80.51,81.03,495223
51,2022-09-14,81.03,81.99,80.55,81.84,1522037
50,2022-09-15,81.8,82.1,80.02,80.49,1320236
49,2022-09-16,80.5,81.85,79.99,80.43,1707796
48,2022-09-19,80.43,80.99,79.02,79.72,1394724
47,2022-09-20,79.88,79.98,79.1,79.24,423927
46,2022-09-21,79.26,79.75,77.5,77.69,1596247
45,2022-09-22,77.75,78.0,76.4,77.55,1127403
44,2022-09-23,77.85,78.09,77.07,77.94,638898
43,2022-09-26,78.3,78.3,77.0,77.15,617296
42,2022-09-27,77.15,80.15,76.85,79.99,1743765
41,2022-09-28,80.45,80.45,78.0,78.2,652294
40,2022-09-29,78.2,79.2,77.81,77.99,308894
39,2022-09-30,78.0,78.8,77.5,78.02,956307
81,2022-10-03,78.02,78.6,77.67,78.04,677898
80,2022-10-04,78.1,78.44,77.7,78.03,980531
79,2022-10-05,78.75,80.1,78.09,79.96,1810380
78,2022-10-06,80.25,83.6,80.08,82.8,2441737
77,2022-10-07,82.78,83.6,81.5,81.96,1124616
76,2022-10-10,82.4,82.4,80.53,80.59,826029
75,2022-10-11,80.9,82.18,80.3,81.54,1613954
74,2022-10-12,81.6,83.0,81.01,81.14,1582544
73,2022-10-13,81.31,81.6,81.02,81.18,515419
72,2022-10-14,81.0,81.5,80.6,80.75,621314
71,2022-10-17,80.99,81.4,80.85,81.2,372411
70,2022-10-18,81.11,81.5,81.0,81.23,621538
69,2022-10-19,81.7,81.8,81.16,81.48,771697
68,2022-10-20,81.11,81.88,81.0,81.2,1011612
67,2022-10-21,81.1,82.1,80.51,81.78,1728061
66,2022-10-24,80.0,80.74,78.78,80.38,2087076
65,2022-10-25,79.87,81.75,79.87,81.08,3741384
