,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,256.04,258.5,255.51,256.04,174464
16,2022-07-04,256.01,257.0,252.9,254.06,96607
15,2022-07-05,253.02,255.0,253.02,253.68,31100
14,2022-07-06,255.79,257.0,252.0,252.3,117545
13,2022-07-07,253.94,253.94,251.5,251.96,132658
12,2022-07-13,253.0,253.4,250.21,252.79,184167
11,2022-07-14,253.5,258.25,253.5,257.4,261693
10,2022-07-15,257.5,258.89,254.6,256.73,138568
9,2022-07-18,255.89,256.8,251.03,251.97,335429
8,2022-07-19,253.9,254.95,240.51,244.7,303480
7,2022-07-20,244.9,245.99,243.01,243.75,97806
6,2022-07-21,244.0,244.0,241.05,241.57,94112
5,2022-07-22,245.99,246.0,241.05,245.17,127238
4,2022-07-25,245.0,245.0,241.5,242.42,45264
3,2022-07-26,246.9,246.9,240.25,241.54,30890
2,2022-07-27,242.0,243.5,235.0,238.83,305626
1,2022-07-28,239.98,242.7,235.7,236.95,804059
0,2022-07-29,236.9,237.0,234.0,234.62,308897
38,2022-08-01,235.0,238.0,232.0,232.11,151675
37,2022-08-02,230.05,238.47,228.0,235.54,159463
36,2022-08-03,236.0,238.95,236.0,238.03,378803
35,2022-08-04,239.84,241.0,236.8,237.11,291055
34,2022-08-05,238.99,240.0,236.13,238.92,374564
33,2022-08-10,239.01,246.0,239.01,242.23,488208
32,2022-08-11,244.0,245.5,240.0,240.46,191999
31,2022-08-12,242.0,245.99,240.7,243.01,115671
30,2022-08-15,243.05,249.0,243.05,248.05,149052
29,2022-08-16,249.0,254.1,248.0,252.13,447763
28,2022-08-17,254.9,260.0,253.0,253.65,735261
27,2022-08-18,255.79,255.79,251.0,251.86,171873
26,2022-08-19,253.0,253.0,251.21,251.71,218396
25,2022-08-22,252.0,253.0,250.0,250.26,102368
24,2022-08-23,252.0,256.0,252.0,254.78,414783
23,2022-08-24,256.0,260.99,254.75,259.35,536361
22,2022-08-25,249.0,249.25,244.5,245.23,244945
