,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,111.01,113.5,111.01,111.99,393257
16,2022-07-04,111.5,111.5,108.39,109.89,467337
15,2022-07-05,109.8,110.0,108.8,108.85,156662
14,2022-07-06,109.28,109.5,109.0,109.27,518128
13,2022-07-07,109.49,111.5,108.85,110.53,432991
12,2022-07-13,110.65,111.9,110.35,110.86,685220
11,2022-07-14,111.0,111.7,110.69,110.99,516725
10,2022-07-15,111.05,111.5,110.6,111.0,159514
9,2022-07-18,110.5,110.99,108.02,108.44,366165
8,2022-07-19,108.55,109.47,105.9,106.36,524550
7,2022-07-20,107.0,107.51,106.11,106.96,461973
6,2022-07-21,107.02,107.02,105.0,105.53,271277
5,2022-07-22,106.1,107.0,105.5,105.99,358569
4,2022-07-25,107.0,107.0,104.5,104.9,359852
3,2022-07-26,104.9,106.4,103.1,105.05,208104
2,2022-07-27,105.02,105.83,104.0,104.77,673673
1,2022-07-28,105.75,105.9,102.16,104.91,916457
0,2022-07-29,105.0,105.5,102.8,103.51,767837
38,2022-08-01,103.8,104.0,103.01,103.38,180268
37,2022-08-02,103.0,104.5,102.55,103.75,1219465
36,2022-08-03,104.1,105.0,103.5,104.21,1606503
35,2022-08-04,103.0,104.0,102.11,103.35,721821
34,2022-08-05,104.0,104.5,103.29,103.52,1013506
33,2022-08-10,104.0,105.49,104.0,104.67,1556768
32,2022-08-11,104.95,105.5,104.2,104.42,349279
31,2022-08-12,104.3,104.85,103.75,104.55,181353
30,2022-08-15,104.9,105.0,103.27,103.96,1252088
29,2022-08-16,104.01,104.5,102.5,102.92,665656
28,2022-08-17,102.71,103.0,102.51,102.76,233715
27,2022-08-18,102.78,102.99,102.0,102.24,296747
26,2022-08-19,102.26,102.8,101.71,102.17,452356
25,2022-08-22,102.73,102.73,100.75,101.85,1223717
24,2022-08-23,102.49,105.0,102.49,104.52,2466530
23,2022-08-24,104.75,104.99,103.52,103.72,675542
22,2022-08-25,104.0,104.0,103.25,103.59,531886
