,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,157.97,159.0,155.0,155.9,113000
16,2022-07-04,155.9,161.8,155.01,158.59,759500
15,2022-07-05,158.59,159.7,155.76,156.18,68200
14,2022-07-06,155.88,159.7,154.5,155.22,134000
13,2022-07-07,156.84,156.84,152.5,154.02,94500
12,2022-07-13,155.0,161.8,154.99,161.04,464300
11,2022-07-14,161.04,163.5,159.21,161.13,331000
10,2022-07-15,161.8,161.8,157.76,158.06,92800
9,2022-07-18,154.62,155.85,151.02,152.21,196800
8,2022-07-19,153.48,153.51,146.9,147.86,98300
7,2022-07-20,147.86,151.52,143.51,149.73,132800
6,2022-07-21,149.5,149.5,140.3,141.5,153800
5,2022-07-22,141.02,144.99,140.05,144.38,104800
4,2022-07-25,141.02,144.75,141.02,142.57,60300
3,2022-07-26,142.65,144.87,142.0,142.54,66700
2,2022-07-27,143.5,144.47,138.8,141.38,192900
1,2022-07-28,142.04,146.9,141.0,141.75,260500
0,2022-07-29,140.99,142.0,132.2,137.37,162400
38,2022-08-01,135.52,139.44,135.52,136.85,95800
37,2022-08-02,135.01,139.38,134.4,138.07,58200
36,2022-08-03,138.0,146.89,138.0,145.41,444800
35,2022-08-04,146.5,151.0,145.52,147.41,354800
34,2022-08-05,146.51,155.5,146.02,153.78,438900
33,2022-08-10,153.78,162.51,152.65,160.94,958600
32,2022-08-11,161.0,161.75,155.15,156.75,331000
31,2022-08-12,155.1,165.5,155.05,163.71,1061200
30,2022-08-15,165.9,165.9,161.33,161.85,408600
29,2022-08-16,162.5,163.2,154.0,155.72,522800
28,2022-08-17,155.2,159.0,153.5,157.94,334600
27,2022-08-18,159.5,162.99,158.5,159.43,308900
26,2022-08-19,159.01,160.0,157.21,157.54,42200
25,2022-08-22,156.0,156.5,153.01,154.21,76900
24,2022-08-23,156.95,157.75,156.0,157.07,184600
23,2022-08-24,158.0,162.74,157.5,160.72,541500
22,2022-08-25,160.72,161.0,158.01,159.28,84900
21,2022-08-26,160.0,160.5,156.05,156.78,154500
20,2022-08-29,156.0,159.0,154.02,158.17,60000
19,2022-08-30,161.99,162.04,154.0,155.36,211700
18,2022-08-31,153.0,156.5,153.0,154.0,68400
60,2022-09-01,154.51,157.45,154.51,155.55,72800
59,2022-09-02,155.0,155.1,152.5,153.31,46800
58,2022-09-05,153.99,153.99,151.1,151.66,40300
57,2022-09-06,150.6,152.3,149.0,150.61,52000
56,2022-09-07,152.0,152.9,150.0,150.14,27500
55,2022-09-08,150.05,150.98,149.0,149.19,17100
54,2022-09-09,149.01,151.88,149.0,149.97,43100
53,2022-09-12,150.1,152.45,150.0,151.55,61400
52,2022-09-13,152.0,152.0,149.63,150.31,41200
51,2022-09-14,149.99,150.35,147.8,149.33,59500
50,2022-09-15,149.2,152.0,148.8,149.12,102300
49,2022-09-16,149.0,149.0,147.32,147.62,24300
48,2022-09-19,147.52,148.0,145.52,146.03,12800
47,2022-09-20,145.1,146.49,141.8,142.14,35000
46,2022-09-21,142.1,142.5,139.0,139.99,50700
45,2022-09-22,139.01,142.0,136.9,140.54,48300
44,2022-09-23,140.5,141.99,139.0,139.3,24200
43,2022-09-26,142.7,144.21,141.31,143.67,126700
42,2022-09-27,145.47,154.44,145.27,154.44,393900
41,2022-09-28,157.49,159.0,150.01,151.09,349900
40,2022-09-29,151.0,151.0,149.0,149.21,125400
39,2022-09-30,147.12,149.79,145.5,146.35,153100
81,2022-10-03,148.98,150.8,146.35,147.9,191300
80,2022-10-04,148.15,152.99,143.5,144.36,433600
79,2022-10-05,145.0,145.99,143.51,144.0,235900
78,2022-10-06,143.15,147.9,143.15,145.86,291200
77,2022-10-07,144.0,150.0,143.86,147.25,255000
76,2022-10-10,147.01,152.0,147.0,151.14,199800
75,2022-10-11,152.0,153.8,149.23,149.78,218400
74,2022-10-12,149.78,153.5,148.11,149.89,403800
73,2022-10-13,151.0,151.49,147.0,147.57,110800
72,2022-10-14,148.01,148.48,145.0,145.63,83700
71,2022-10-17,146.0,146.0,142.35,142.85,80800
70,2022-10-18,143.0,144.25,141.0,141.62,120700
69,2022-10-19,142.5,144.63,141.84,142.75,182200
68,2022-10-20,144.47,144.06,141.63,141.98,78800
67,2022-10-21,142.15,142.5,139.0,141.24,83000
66,2022-10-24,144.7,144.77,142.0,143.06,88700
65,2022-10-25,143.0,143.07,140.0,140.37,45800
64,2022-10-26,140.0,140.99,133.06,133.48,165300
63,2022-10-27,132.9,133.0,128.1,130.18,117900
62,2022-10-28,134.95,134.95,123.15,123.69,134900
61,2022-10-31,123.0,124.79,120.71,123.51,98300
102,2022-11-01,124.0,132.77,124.0,132.77,209400
101,2022-11-02,135.0,138.55,132.68,135.62,446300
100,2022-11-03,135.0,141.99,134.01,137.16,409000
99,2022-11-04,135.0,136.5,133.15,133.86,108300
98,2022-11-07,135.49,139.2,134.01,136.19,123900
97,2022-11-08,136.0,137.75,134.25,134.54,60300
96,2022-11-10,135.01,138.99,135.0,135.45,142800
