,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,91.49,91.98,89.72,91.14,652624
16,2022-07-04,91.25,92.59,90.0,92.12,204822
15,2022-07-05,92.0,92.55,90.5,90.67,96954
14,2022-07-06,91.9,91.98,90.11,91.7,121903
13,2022-07-07,91.6,91.97,91.12,91.82,45485
12,2022-07-13,89.05,93.97,89.05,93.06,92146
11,2022-07-14,94.0,94.3,92.41,93.79,488639
10,2022-07-15,94.98,94.98,92.52,92.86,119617
9,2022-07-18,90.27,92.85,90.27,90.93,212336
8,2022-07-19,91.0,91.94,87.8,88.58,536224
7,2022-07-20,89.25,90.0,87.48,88.33,147724
6,2022-07-21,89.8,89.8,86.0,86.53,477633
5,2022-07-22,88.95,88.95,83.9,84.64,353168
4,2022-07-25,85.45,85.45,83.5,83.57,94226
3,2022-07-26,83.6,84.48,81.1,83.92,311482
2,2022-07-27,86.99,86.99,82.99,84.44,1366469
1,2022-07-28,84.62,86.9,84.05,86.45,2531280
0,2022-07-29,86.9,86.9,85.0,86.25,628902
38,2022-08-01,88.95,88.95,83.36,85.97,734281
37,2022-08-02,86.0,86.0,84.9,85.05,710610
36,2022-08-03,85.6,87.95,84.21,86.51,1646552
35,2022-08-04,86.9,87.49,85.01,86.51,438995
34,2022-08-05,88.39,89.95,86.0,88.68,1594932
33,2022-08-10,89.0,92.89,89.0,91.29,1378718
32,2022-08-11,92.88,92.88,87.8,88.09,505366
31,2022-08-12,88.98,91.17,86.4,90.93,580206
30,2022-08-15,91.0,97.74,91.0,95.35,1772521
29,2022-08-16,95.5,99.8,94.0,96.95,1572294
28,2022-08-17,96.0,101.4,95.8,96.41,1225443
27,2022-08-18,97.89,98.49,96.5,96.61,292307
26,2022-08-19,97.99,97.99,94.1,96.37,506768
25,2022-08-22,97.49,98.5,94.45,94.73,811424
24,2022-08-23,93.01,98.0,93.01,94.57,1247637
23,2022-08-24,95.45,96.0,93.66,94.01,1771932
22,2022-08-25,94.25,95.68,94.25,95.29,725249
21,2022-08-26,95.06,96.2,93.39,93.78,504502
20,2022-08-29,94.5,94.5,90.03,92.44,411039
19,2022-08-30,93.11,94.87,90.41,90.9,664612
18,2022-08-31,91.99,91.99,89.27,90.66,680614
60,2022-09-01,91.18,91.18,89.75,90.25,258339
59,2022-09-02,90.95,90.95,88.06,89.87,170854
58,2022-09-05,91.0,91.0,88.0,88.5,274439
57,2022-09-06,89.35,89.35,87.8,88.45,118957
56,2022-09-07,89.0,89.0,87.1,87.98,298849
55,2022-09-08,88.74,88.74,87.15,87.55,142679
54,2022-09-09,88.18,88.18,87.1,87.53,77062
53,2022-09-12,87.5,89.0,87.02,87.14,312556
