,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,68.8,69.48,67.56,68.52,904607
16,2022-07-04,68.69,69.15,67.77,68.37,501129
15,2022-07-05,68.7,68.7,67.8,67.97,225617
14,2022-07-06,68.37,68.64,67.8,68.35,225930
13,2022-07-07,68.35,68.75,67.52,67.86,604105
12,2022-07-13,67.84,68.8,67.5,68.37,995960
11,2022-07-14,68.85,69.8,68.31,69.17,1096994
10,2022-07-15,69.49,69.68,68.71,69.04,355702
9,2022-07-18,68.07,68.4,66.9,67.28,1039263
8,2022-07-19,67.83,67.83,64.4,64.98,995810
7,2022-07-20,65.5,66.0,64.15,65.54,375484
6,2022-07-21,65.54,65.85,64.6,65.18,571235
5,2022-07-22,65.68,66.18,64.75,65.37,437624
4,2022-07-25,65.1,65.31,64.7,64.8,303594
3,2022-07-26,64.82,65.19,63.4,64.24,1508631
2,2022-07-27,64.25,64.7,63.5,63.68,612913
1,2022-07-28,63.93,66.89,63.82,64.57,3225105
0,2022-07-29,64.55,64.85,63.75,64.42,500361
38,2022-08-01,65.0,65.0,64.0,64.32,261891
37,2022-08-02,64.4,64.6,63.51,64.14,471222
36,2022-08-03,64.45,65.5,64.22,65.13,939721
35,2022-08-04,65.7,67.0,65.13,65.99,888714
34,2022-08-05,66.1,67.1,65.5,66.91,1349330
33,2022-08-10,67.05,69.6,66.8,68.48,3147444
32,2022-08-11,69.38,69.38,68.0,68.21,901652
31,2022-08-12,68.75,69.7,68.22,68.98,1084334
30,2022-08-15,69.45,70.1,68.42,69.24,2552966
29,2022-08-16,69.35,71.3,69.02,70.11,4811238
28,2022-08-17,70.01,70.97,69.9,70.36,1779388
27,2022-08-18,70.74,70.89,69.83,70.29,885561
26,2022-08-19,70.0,70.01,68.91,69.08,1865156
25,2022-08-22,68.8,69.2,68.3,68.85,638296
24,2022-08-23,69.0,70.6,69.0,70.26,1445670
23,2022-08-24,70.25,72.7,70.0,71.51,3306273
22,2022-08-25,71.64,72.49,66.15,66.15,7588814
21,2022-08-26,63.01,65.6,63.01,64.9,6502375
20,2022-08-29,64.2,65.35,64.2,64.96,2263061
19,2022-08-30,65.99,66.0,64.65,64.96,1094639
18,2022-08-31,65.15,66.63,64.25,66.22,4591204
60,2022-09-01,66.5,66.85,65.9,66.01,978477
59,2022-09-02,66.44,66.44,65.25,65.69,1115888
58,2022-09-05,65.85,65.85,64.5,64.58,444419
57,2022-09-06,64.7,64.85,63.71,64.21,716329
56,2022-09-07,64.8,64.8,64.06,64.16,841668
55,2022-09-08,63.95,64.62,63.95,64.06,612068
54,2022-09-09,64.45,64.45,63.51,63.64,950438
53,2022-09-12,64.0,64.0,63.47,63.77,502869
52,2022-09-13,64.0,64.8,63.98,64.49,1159880
51,2022-09-14,64.34,67.0,64.25,66.43,11153190
50,2022-09-15,66.9,67.1,65.15,65.34,2180597
49,2022-09-16,65.5,66.24,64.5,65.7,879693
48,2022-09-19,66.0,66.47,65.5,66.0,2371656
47,2022-09-20,65.95,65.99,65.11,65.57,1103134
46,2022-09-21,64.85,66.1,64.85,65.93,777625
45,2022-09-22,66.0,66.0,64.45,65.28,1774332
44,2022-09-23,65.49,65.51,64.01,64.38,1313078
43,2022-09-26,64.35,68.5,64.25,67.96,6374464
42,2022-09-27,68.05,69.1,67.82,68.56,3623616
41,2022-09-28,68.68,70.15,68.35,69.13,4489554
40,2022-09-29,69.13,69.49,68.5,69.11,2397496
39,2022-09-30,68.5,70.3,68.5,69.91,3419163
81,2022-10-03,69.61,75.15,69.6,75.15,30842445
80,2022-10-04,77.5,78.74,77.1,77.35,14561570
79,2022-10-05,77.59,78.3,77.06,77.52,4265286
78,2022-10-06,77.65,79.71,77.5,78.72,7427882
77,2022-10-07,78.31,80.05,78.23,79.03,7502506
76,2022-10-10,79.8,80.35,78.8,79.03,10291842
75,2022-10-11,65.0,65.9,63.53,64.18,5201941
74,2022-10-12,64.2,64.2,63.33,63.7,2896189
73,2022-10-13,63.65,64.0,63.12,63.35,1375428
72,2022-10-14,63.8,63.85,63.05,63.58,1425086
71,2022-10-17,63.85,63.87,63.4,63.67,923959
70,2022-10-18,63.84,63.95,63.6,63.76,716886
69,2022-10-19,63.9,65.0,63.65,64.57,2184259
68,2022-10-20,64.9,66.29,64.65,65.8,2037554
67,2022-10-21,65.7,67.0,65.71,66.73,3052970
66,2022-10-24,68.4,68.68,67.25,67.51,1657988
65,2022-10-25,67.91,69.5,67.51,68.76,3090525
64,2022-10-26,68.45,68.45,66.5,66.69,2412682
63,2022-10-27,66.5,67.05,64.5,65.84,2515013
62,2022-10-28,65.5,65.8,64.56,64.75,1033784
61,2022-10-31,64.6,66.17,64.6,66.0,683345
102,2022-11-01,66.25,67.0,66.11,66.97,1295869
101,2022-11-02,67.01,69.0,67.0,68.79,1830268
100,2022-11-03,68.61,69.0,67.9,68.11,1165910
99,2022-11-04,67.4,68.5,67.0,67.62,1435178
98,2022-11-07,68.09,68.7,67.8,68.02,693554
97,2022-11-08,68.06,68.98,68.0,68.65,1557747
96,2022-11-10,69.13,70.49,69.05,70.01,4436653
95,2022-11-11,69.99,70.5,69.4,69.59,674141
94,2022-11-14,69.75,69.75,68.79,69.32,457979
93,2022-11-15,69.6,69.6,68.56,68.64,963238
92,2022-11-16,68.89,69.84,68.8,69.38,1512382
91,2022-11-17,69.55,71.4,69.38,69.71,4070739
90,2022-11-18,69.95,69.95,69.2,69.66,690873
89,2022-11-21,69.7,69.98,69.0,69.31,1315167
88,2022-11-22,69.65,69.9,68.76,69.13,735431
87,2022-11-23,69.48,69.48,66.25,66.62,12462817
86,2022-11-24,66.8,67.46,66.7,66.96,3123027
85,2022-11-25,66.9,66.9,64.75,65.02,6967197
84,2022-11-28,64.0,65.75,63.61,64.86,3952818
83,2022-11-29,64.75,67.9,64.6,67.02,4297344
82,2022-11-30,66.73,67.34,66.0,66.12,1675653
124,2022-12-01,66.4,67.34,66.35,66.65,1699419
123,2022-12-02,67.0,67.5,66.4,67.32,1618041
122,2022-12-05,67.7,67.7,66.24,66.38,860079
121,2022-12-06,66.5,66.75,65.55,66.05,691562
120,2022-12-07,66.09,66.75,65.52,66.55,559370
119,2022-12-08,66.5,66.95,65.65,65.89,629572
118,2022-12-09,66.85,66.85,65.05,65.39,432148
117,2022-12-12,65.44,66.35,64.85,64.99,364236
116,2022-12-13,65.25,65.5,64.65,65.34,611576
115,2022-12-14,65.25,65.35,64.77,64.9,529059
114,2022-12-15,64.8,64.81,62.9,63.03,3042907
113,2022-12-16,63.03,64.23,62.5,62.75,1341930
112,2022-12-19,62.74,62.99,60.51,60.8,2348318
111,2022-12-20,61.0,61.2,59.3,59.66,6234699
110,2022-12-21,59.99,60.96,59.2,59.59,2412336
109,2022-12-22,60.0,60.99,59.81,60.73,2108461
108,2022-12-23,60.2,65.18,60.0,62.89,8316311
107,2022-12-26,63.64,63.95,61.2,61.46,4438360
106,2022-12-27,61.2,61.9,60.7,61.03,2556540
105,2022-12-28,61.23,63.25,61.0,62.17,6403580
104,2022-12-29,61.88,63.6,61.4,62.63,3426389
103,2022-12-30,62.0,64.0,62.0,63.08,3685474
