,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,59.84,59.84,58.51,58.75,39781
16,2022-07-04,58.5,59.0,57.61,57.92,59110
15,2022-07-05,57.4,58.7,56.44,57.34,190837
14,2022-07-06,56.9,58.0,56.2,56.49,296472
13,2022-07-07,56.99,56.99,55.35,55.65,276048
12,2022-07-13,55.8,57.63,55.6,57.43,101923
11,2022-07-14,58.2,61.73,57.0,61.24,2752417
10,2022-07-15,60.51,60.8,58.96,59.02,358552
9,2022-07-18,58.5,58.5,56.01,56.43,679193
8,2022-07-19,56.25,57.23,54.48,54.9,254186
7,2022-07-20,55.01,55.7,54.01,54.94,110452
6,2022-07-21,54.82,55.2,52.5,52.94,319317
5,2022-07-22,53.25,54.98,52.51,54.21,116582
4,2022-07-25,54.19,54.2,52.8,53.69,37158
3,2022-07-26,53.69,55.15,53.1,54.5,167775
2,2022-07-27,54.95,55.75,54.31,55.44,374703
1,2022-07-28,55.76,56.69,54.5,54.87,670334
0,2022-07-29,54.51,56.15,53.25,54.6,401416
38,2022-08-01,54.6,54.75,53.75,53.94,207123
37,2022-08-02,53.45,54.9,52.5,54.13,343361
36,2022-08-03,54.0,58.18,53.6,57.92,2078769
35,2022-08-04,57.89,60.28,57.89,58.46,1301373
34,2022-08-05,59.16,60.7,58.46,59.96,1248529
33,2022-08-10,61.5,61.5,59.71,60.06,1310710
32,2022-08-11,60.1,60.8,59.5,60.16,849130
31,2022-08-12,60.5,61.15,60.2,60.64,548154
30,2022-08-15,61.6,62.49,61.1,61.74,1507582
29,2022-08-16,61.74,62.4,59.8,60.31,919659
28,2022-08-17,61.0,62.7,60.0,61.83,2176715
27,2022-08-18,61.82,62.45,59.43,59.84,1109962
26,2022-08-19,59.7,60.84,58.0,59.28,1280566
25,2022-08-22,59.0,59.05,58.3,58.49,611045
24,2022-08-23,59.25,60.0,59.0,59.34,796559
23,2022-08-24,59.6,59.75,58.9,59.05,425943
22,2022-08-25,59.35,59.6,58.75,58.99,481880
21,2022-08-26,59.25,59.25,58.02,58.23,468906
20,2022-08-29,58.0,60.6,57.8,60.39,1200859
19,2022-08-30,61.2,62.0,58.93,59.29,1011247
18,2022-08-31,59.5,60.75,59.35,60.57,902001
60,2022-09-01,60.9,61.3,60.0,60.13,603523
59,2022-09-02,60.15,61.2,60.0,60.38,525486
58,2022-09-05,60.25,61.0,59.88,60.08,243319
57,2022-09-06,60.06,60.08,59.11,59.96,55091
56,2022-09-07,60.55,60.55,59.49,59.68,251307
55,2022-09-08,60.0,60.55,59.15,59.58,393620
54,2022-09-09,60.34,60.35,59.35,59.57,203969
53,2022-09-12,59.94,59.94,58.8,59.04,286475
52,2022-09-13,59.04,59.5,59.01,59.37,171973
51,2022-09-14,59.44,59.5,59.0,59.14,306381
50,2022-09-15,59.45,59.7,58.61,59.06,455608
49,2022-09-16,59.45,60.0,58.5,58.92,889472
48,2022-09-19,54.99,55.0,53.5,53.7,327389
47,2022-09-20,53.75,53.75,52.69,53.1,161858
46,2022-09-21,53.41,55.9,52.51,53.92,246519
