,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,27.78,28.1,27.41,27.8,1019824
16,2022-07-04,27.51,27.75,27.51,27.65,562556
15,2022-07-05,27.66,27.66,27.42,27.53,473319
14,2022-07-06,27.54,28.04,27.39,27.68,913259
13,2022-07-07,27.68,27.74,27.25,27.36,1104032
12,2022-07-13,27.36,27.96,27.35,27.87,748264
11,2022-07-14,27.95,28.24,27.91,28.08,1014895
10,2022-07-15,28.08,28.2,27.83,27.88,556490
9,2022-07-18,27.39,27.68,27.02,27.5,940243
8,2022-07-19,27.49,27.8,27.4,27.61,983060
7,2022-07-20,27.65,27.74,27.31,27.48,454647
6,2022-07-21,27.48,27.64,26.75,26.89,1014811
5,2022-07-22,26.9,27.39,26.61,27.1,615424
4,2022-07-25,27.2,27.2,26.66,26.87,393448
3,2022-07-26,26.88,27.25,26.75,27.0,641434
2,2022-07-27,27.0,27.1,26.77,26.99,399477
1,2022-07-28,27.1,27.3,26.71,26.81,1409849
0,2022-07-29,26.71,27.0,26.42,26.69,1253502
38,2022-08-01,26.55,26.8,26.45,26.53,880414
37,2022-08-02,26.41,26.66,26.29,26.57,476860
36,2022-08-03,26.67,27.35,26.57,27.21,1158936
35,2022-08-04,27.44,27.64,26.89,27.02,1937221
34,2022-08-05,27.15,27.93,27.02,27.7,2337176
33,2022-08-10,28.0,28.65,27.9,28.45,3014449
32,2022-08-11,28.48,28.64,28.27,28.39,1262236
31,2022-08-12,28.39,29.5,28.35,29.35,2216437
30,2022-08-15,29.35,31.0,29.34,30.43,4428293
29,2022-08-16,30.81,31.55,30.71,31.38,4723019
28,2022-08-17,31.5,31.89,31.38,31.53,2091829
27,2022-08-18,31.65,32.0,31.14,31.37,2202757
26,2022-08-19,31.49,31.55,31.0,31.32,1243414
25,2022-08-22,31.1,31.5,30.75,31.1,1796062
24,2022-08-23,31.25,31.66,31.0,31.04,1349041
23,2022-08-24,31.15,31.89,31.15,31.7,1778926
22,2022-08-25,31.6,32.23,30.75,31.24,4083940
21,2022-08-26,31.21,31.5,30.99,31.04,1274000
20,2022-08-29,31.04,31.04,29.75,30.69,1223518
19,2022-08-30,31.14,31.45,30.5,30.55,3819399
18,2022-08-31,30.36,30.92,30.07,30.31,1718928
60,2022-09-01,30.34,30.74,30.25,30.33,11655951
59,2022-09-02,30.38,31.2,30.2,30.77,6134301
58,2022-09-05,30.68,30.93,30.33,30.4,952191
57,2022-09-06,30.5,30.7,30.21,30.61,1014232
56,2022-09-07,30.45,31.19,30.4,30.74,3616795
55,2022-09-08,30.95,31.19,30.75,30.96,1233673
54,2022-09-09,30.9,32.5,30.84,31.39,12805621
53,2022-09-12,31.5,31.7,31.38,31.6,985013
52,2022-09-13,31.8,32.2,31.7,32.0,2451497
51,2022-09-14,32.25,33.04,32.05,32.81,6192675
50,2022-09-15,33.1,33.48,32.05,32.18,6141955
49,2022-09-16,32.1,32.5,29.9,31.45,16976774
48,2022-09-19,31.74,31.74,31.1,31.19,1971080
47,2022-09-20,31.19,31.19,30.5,30.58,2539906
46,2022-09-21,30.6,30.78,30.31,30.47,1129000
45,2022-09-22,30.49,30.5,30.09,30.42,1791607
44,2022-09-23,30.5,30.8,29.95,30.07,2279961
43,2022-09-26,30.26,30.76,30.2,30.7,1254898
42,2022-09-27,30.75,31.2,30.01,30.5,2133429
41,2022-09-28,30.52,30.7,30.3,30.35,1922780
40,2022-09-29,30.38,30.5,30.09,30.16,1199477
39,2022-09-30,30.3,30.3,29.4,29.54,4437390
81,2022-10-03,29.88,30.85,29.65,30.44,2754360
80,2022-10-04,30.44,30.51,30.05,30.14,2075512
79,2022-10-05,30.14,30.6,30.14,30.24,1582631
78,2022-10-06,30.34,30.55,30.21,30.46,1313914
77,2022-10-07,30.34,31.48,30.33,31.38,8481104
76,2022-10-10,31.5,31.7,31.2,31.29,1054487
