,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,458.0,458.5,451.03,452.69,159303
16,2022-07-04,450.5,457.9,439.4,440.32,436179
15,2022-07-05,441.5,444.0,433.8,435.31,146781
14,2022-07-06,439.9,443.95,435.6,437.12,324177
13,2022-07-07,439.5,440.02,434.0,435.4,133871
12,2022-07-13,434.99,447.0,430.11,444.83,484102
11,2022-07-14,451.0,458.9,443.0,456.44,750348
10,2022-07-15,458.5,463.0,445.6,451.28,586724
9,2022-07-18,440.0,445.0,433.0,436.12,328980
8,2022-07-19,436.0,439.98,423.5,427.7,318493
7,2022-07-20,430.89,433.5,425.0,428.15,226004
6,2022-07-21,430.0,430.95,422.0,423.2,223965
5,2022-07-22,425.99,427.0,407.31,418.96,560455
4,2022-07-25,415.0,417.99,411.51,414.79,150708
3,2022-07-26,416.99,421.88,409.0,414.41,358293
2,2022-07-27,414.41,417.99,411.0,415.68,282249
1,2022-07-28,417.97,423.9,415.0,416.24,509039
0,2022-07-29,418.0,418.0,410.03,411.93,187844
38,2022-08-01,412.0,415.9,409.01,413.8,109858
37,2022-08-02,413.8,421.0,409.12,417.12,254715
36,2022-08-03,419.99,448.35,416.06,441.55,1174910
35,2022-08-04,442.1,454.95,442.1,452.17,794586
34,2022-08-05,454.99,474.9,454.99,466.15,1830646
33,2022-08-10,471.0,476.89,458.0,461.49,1213367
32,2022-08-11,462.0,467.67,459.0,464.49,572770
31,2022-08-12,464.0,465.0,460.0,463.3,504503
30,2022-08-15,465.0,480.5,462.55,473.97,2317379
29,2022-08-16,475.0,489.45,473.25,479.83,2561946
28,2022-08-17,482.0,505.43,478.2,498.29,1947928
27,2022-08-18,502.99,511.0,495.0,500.68,1220122
26,2022-08-19,495.11,498.41,490.3,492.89,330146
25,2022-08-22,492.8,493.89,485.0,490.56,512742
24,2022-08-23,497.0,521.87,495.99,518.07,2185086
23,2022-08-24,522.0,527.0,507.0,509.58,1021093
22,2022-08-25,507.0,526.9,501.0,520.81,1970583
21,2022-08-26,540.0,540.0,517.01,518.78,2097136
20,2022-08-29,517.0,517.0,497.21,511.57,1300134
19,2022-08-30,518.9,521.5,507.0,509.89,1033635
18,2022-08-31,508.99,519.5,507.1,516.72,572071
60,2022-09-01,518.98,529.51,516.72,523.37,1142761
59,2022-09-02,522.0,526.45,518.0,520.74,391581
58,2022-09-05,519.95,524.5,513.6,517.11,485020
57,2022-09-06,516.0,516.0,509.0,512.28,201540
56,2022-09-07,519.9,520.0,507.02,508.21,137412
55,2022-09-08,511.01,517.89,510.5,514.57,413770
54,2022-09-09,516.0,520.0,513.5,514.54,346278
53,2022-09-12,516.0,518.99,510.0,512.28,155566
52,2022-09-13,513.4,516.7,512.53,513.4,191115
51,2022-09-14,513.4,515.75,510.0,512.81,157459
50,2022-09-15,514.0,523.35,509.5,510.97,922911
49,2022-09-16,511.08,515.2,506.8,508.17,411958
48,2022-09-19,511.69,511.69,500.0,501.99,174812
47,2022-09-20,503.9,503.98,491.5,492.78,427623
46,2022-09-21,494.99,495.99,481.0,483.43,428667
45,2022-09-22,480.0,489.74,473.05,488.23,512537
44,2022-09-23,493.9,494.05,477.05,479.65,338713
43,2022-09-26,481.0,493.0,470.0,485.93,1740483
42,2022-09-27,490.0,498.65,486.0,493.54,1112140
41,2022-09-28,495.9,503.5,494.05,495.99,780047
40,2022-09-29,497.79,505.99,492.0,502.99,996340
39,2022-09-30,501.0,507.9,491.11,496.56,836928
81,2022-10-03,498.89,498.89,492.05,494.23,170261
80,2022-10-04,496.2,511.0,495.33,505.93,1611597
79,2022-10-05,510.0,518.89,507.8,516.76,1329524
78,2022-10-06,519.98,523.0,512.13,513.04,661341
77,2022-10-07,510.9,520.9,510.15,511.86,823970
76,2022-10-10,514.0,517.5,510.5,514.59,508375
75,2022-10-11,516.0,517.1,510.2,513.44,333876
74,2022-10-12,515.5,520.0,512.0,513.5,363242
73,2022-10-13,514.01,517.09,510.9,512.57,186571
72,2022-10-14,516.99,516.99,511.01,512.41,206757
71,2022-10-17,514.89,514.9,509.7,510.42,393801
70,2022-10-18,511.52,515.49,506.99,509.69,411636
69,2022-10-19,513.0,515.9,510.5,513.72,367206
68,2022-10-20,516.0,516.0,512.0,512.08,241135
67,2022-10-21,513.99,514.9,508.1,512.9,186632
66,2022-10-24,518.0,518.0,510.51,511.03,383182
65,2022-10-25,513.5,513.5,506.0,508.01,212600
64,2022-10-26,503.25,506.92,494.5,497.58,377351
63,2022-10-27,493.0,499.39,491.0,493.08,346580
62,2022-10-28,494.9,494.99,478.23,480.65,225543
61,2022-10-31,488.0,488.0,481.0,485.28,121323
102,2022-11-01,493.74,494.0,486.08,492.37,442507
101,2022-11-02,492.0,492.98,485.2,489.62,160234
100,2022-11-03,489.0,494.75,488.5,489.91,351219
99,2022-11-04,485.1,487.99,482.0,483.22,246243
98,2022-11-07,484.0,489.0,483.0,483.63,98708
97,2022-11-08,488.85,491.4,487.0,489.36,351961
96,2022-11-10,491.9,493.7,488.0,490.87,467304
95,2022-11-11,492.0,493.0,488.5,490.6,153631
94,2022-11-14,489.97,490.5,482.0,489.08,134335
93,2022-11-15,488.2,493.4,485.0,485.75,418803
92,2022-11-16,489.88,489.88,482.99,486.99,80738
91,2022-11-17,488.99,490.28,486.01,487.79,255538
90,2022-11-18,489.93,489.93,485.0,487.93,193130
89,2022-11-21,484.0,488.5,483.3,485.62,132352
88,2022-11-22,486.0,491.89,484.0,487.53,360017
87,2022-11-23,489.0,489.9,486.0,487.15,50250
86,2022-11-24,487.15,491.0,485.01,487.17,255363
85,2022-11-25,492.0,492.0,482.67,484.23,168456
84,2022-11-28,471.0,471.0,455.5,458.16,771415
83,2022-11-29,459.0,468.0,458.16,467.24,411514
82,2022-11-30,467.89,475.0,462.9,472.79,684044
124,2022-12-01,476.9,476.9,467.51,468.86,136907
123,2022-12-02,472.0,472.0,456.2,457.84,278964
122,2022-12-05,459.9,461.0,439.0,442.09,309108
121,2022-12-06,444.0,446.0,437.0,443.37,199196
120,2022-12-07,445.01,454.98,443.0,453.59,301492
119,2022-12-08,446.0,455.0,446.0,451.93,245334
118,2022-12-09,452.0,455.0,447.02,453.14,127260
117,2022-12-12,451.01,454.0,451.0,453.37,207454
116,2022-12-13,451.01,456.94,451.01,453.28,179888
115,2022-12-14,454.99,455.0,451.5,453.77,192677
114,2022-12-15,454.98,455.9,447.0,450.77,425421
113,2022-12-16,454.8,454.9,445.11,450.52,295909
112,2022-12-19,449.44,450.98,441.01,441.66,66256
111,2022-12-20,445.88,450.0,408.66,422.15,490607
110,2022-12-21,424.0,433.49,415.05,430.98,435092
109,2022-12-22,435.0,442.99,430.01,438.92,218019
108,2022-12-23,440.01,440.01,425.01,429.93,200230
107,2022-12-26,439.79,453.0,421.55,435.26,157423
106,2022-12-27,437.98,438.0,432.2,434.58,113322
105,2022-12-28,435.99,435.99,427.0,431.48,322464
104,2022-12-29,434.9,450.0,428.12,446.96,489376
103,2022-12-30,454.0,454.0,442.01,446.58,47928
