,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,122.97,125.74,122.25,125.11,258558
16,2022-07-04,125.79,126.35,124.25,125.37,343491
15,2022-07-05,125.89,125.89,123.5,124.71,183300
14,2022-07-06,125.23,125.9,123.75,124.96,157020
13,2022-07-07,126.9,126.9,124.06,125.47,48581
12,2022-07-13,125.98,127.5,124.0,126.61,867908
11,2022-07-14,126.88,129.4,126.61,128.27,611722
10,2022-07-15,128.0,128.3,125.49,125.61,588055
9,2022-07-18,124.6,125.61,122.5,123.64,227911
8,2022-07-19,124.0,124.49,119.75,120.93,878643
7,2022-07-20,120.99,121.96,120.01,121.0,525801
6,2022-07-21,121.47,121.9,118.76,119.23,361920
5,2022-07-22,121.85,121.85,117.72,119.46,118156
4,2022-07-25,120.98,120.98,118.01,118.27,50343
3,2022-07-26,120.49,120.49,117.7,119.01,40287
2,2022-07-27,120.45,120.45,118.01,119.54,20389
1,2022-07-28,120.79,127.99,118.18,123.37,1042485
0,2022-07-29,123.98,123.98,121.11,121.63,1147191
38,2022-08-01,121.6,123.18,121.35,122.5,204912
37,2022-08-02,124.19,124.19,121.5,122.62,425570
36,2022-08-03,123.89,127.4,121.55,125.0,488072
35,2022-08-04,126.99,130.0,125.61,128.9,528323
34,2022-08-05,128.01,132.6,127.8,129.99,1227269
33,2022-08-10,131.0,137.0,129.02,132.28,570681
32,2022-08-11,132.9,133.0,131.0,131.18,146755
31,2022-08-12,132.7,132.7,129.8,129.95,571038
30,2022-08-15,131.05,132.0,130.07,131.39,457364
29,2022-08-16,131.96,133.0,130.5,130.7,259693
28,2022-08-17,131.5,131.99,129.4,129.74,321916
27,2022-08-18,130.5,132.0,129.51,130.54,333045
26,2022-08-19,132.0,132.0,129.31,129.49,92070
25,2022-08-22,131.45,131.45,128.0,128.32,97968
24,2022-08-23,128.76,130.45,128.7,129.27,628478
23,2022-08-24,129.98,130.0,128.55,128.97,197434
22,2022-08-25,129.98,129.98,127.4,127.62,330278
21,2022-08-26,128.49,128.48,126.4,126.83,433641
20,2022-08-29,128.75,128.75,126.1,126.49,1196716
19,2022-08-30,124.18,124.18,119.5,120.1,235523
18,2022-08-31,120.98,123.0,119.1,120.42,867973
60,2022-09-01,120.6,121.75,120.02,120.41,158568
59,2022-09-02,121.49,121.5,119.45,119.56,240330
58,2022-09-05,121.0,121.0,118.55,119.16,52370
57,2022-09-06,119.99,121.0,119.0,120.49,602521
56,2022-09-07,121.48,121.48,119.5,119.97,49387
55,2022-09-08,120.0,121.0,119.11,119.43,63673
54,2022-09-09,120.82,120.82,119.51,120.14,96986
53,2022-09-12,119.23,120.84,119.23,119.77,51344
52,2022-09-13,120.6,120.99,119.0,120.27,171944
51,2022-09-14,120.98,120.98,119.61,119.93,149342
