,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,113.89,115.35,113.2,114.94,589600
16,2022-07-04,114.01,116.65,114.0,116.02,648677
15,2022-07-05,115.03,116.0,114.05,115.19,78186
14,2022-07-06,115.95,115.95,114.9,115.16,660926
13,2022-07-07,115.2,115.4,114.5,115.0,511443
12,2022-07-13,116.0,121.49,113.79,119.29,743019
11,2022-07-14,120.25,123.49,119.29,122.86,630961
10,2022-07-15,122.86,125.99,120.0,123.17,1593369
9,2022-07-18,120.01,125.0,120.0,122.94,1367055
8,2022-07-19,123.0,123.0,116.11,117.02,1036901
7,2022-07-20,117.99,118.9,116.5,116.94,274373
6,2022-07-21,116.94,117.01,115.5,116.62,270731
5,2022-07-22,116.75,119.0,115.5,116.57,801472
4,2022-07-25,116.87,116.87,115.75,115.92,60633
3,2022-07-26,117.69,118.47,115.5,117.49,1858729
2,2022-07-27,115.65,119.0,115.65,118.9,751345
1,2022-07-28,119.5,121.99,118.02,119.12,532344
0,2022-07-29,119.0,119.9,118.1,118.49,49988
38,2022-08-01,116.1,119.99,116.1,118.88,402539
37,2022-08-02,116.0,120.4,116.0,119.05,327774
36,2022-08-03,120.0,123.0,118.7,122.78,396451
35,2022-08-04,123.5,126.75,122.81,124.99,690084
34,2022-08-05,124.0,126.5,124.0,124.78,784207
33,2022-08-10,126.0,128.5,125.85,127.43,546127
32,2022-08-11,128.49,130.97,126.26,128.06,3129847
31,2022-08-12,128.79,132.0,128.15,131.25,2562412
30,2022-08-15,133.5,135.99,132.51,134.26,1978885
29,2022-08-16,135.0,135.5,132.6,133.75,1218557
28,2022-08-17,133.75,136.0,133.0,135.54,1265145
27,2022-08-18,136.0,138.0,134.61,136.99,1721660
26,2022-08-19,137.0,138.9,136.1,137.54,2370505
25,2022-08-22,125.97,126.25,123.45,124.43,1656534
24,2022-08-23,124.51,128.1,124.51,125.26,3166829
23,2022-08-24,125.5,128.0,125.1,125.71,4243321
22,2022-08-25,126.0,126.7,123.75,124.12,831301
21,2022-08-26,125.4,128.0,121.35,121.81,2843216
20,2022-08-29,121.0,125.7,120.0,121.37,2143114
19,2022-08-30,122.88,123.47,120.8,121.3,506890
18,2022-08-31,122.47,122.89,121.0,121.4,311334
60,2022-09-01,122.0,123.5,120.4,121.17,475347
59,2022-09-02,122.48,122.48,120.3,120.62,348894
58,2022-09-05,122.84,122.84,119.8,120.09,287637
57,2022-09-06,120.05,121.0,118.9,119.51,219156
56,2022-09-07,119.0,121.0,119.0,120.62,414373
55,2022-09-08,121.5,121.99,119.6,119.99,320035
54,2022-09-09,120.95,122.5,120.4,121.51,520264
53,2022-09-12,121.39,122.5,121.39,122.08,683410
52,2022-09-13,122.08,125.0,120.8,123.94,1920074
51,2022-09-14,123.5,124.5,122.31,122.67,1539329
50,2022-09-15,122.15,123.44,120.9,120.99,528677
49,2022-09-16,121.99,121.99,118.0,118.41,683089
48,2022-09-19,118.7,119.0,116.5,116.98,160901
47,2022-09-20,118.97,118.97,115.55,116.57,278177
46,2022-09-21,116.57,117.98,116.4,116.96,404942
45,2022-09-22,117.8,118.0,114.75,116.52,1734734
44,2022-09-23,115.02,116.75,112.0,112.72,1307884
43,2022-09-26,113.0,114.5,112.75,113.63,1028947
42,2022-09-27,115.0,115.49,112.0,112.55,769135
41,2022-09-28,112.99,114.0,111.51,111.8,1547754
40,2022-09-29,111.8,111.8,108.9,109.54,1453959
39,2022-09-30,109.6,112.9,109.0,109.75,1207019
81,2022-10-03,110.5,111.88,108.9,109.4,531672
80,2022-10-04,109.48,111.5,109.0,109.98,697031
79,2022-10-05,110.01,110.89,109.26,109.68,545537
78,2022-10-06,110.75,112.25,109.5,111.97,1166714
77,2022-10-07,111.02,117.97,110.1,110.87,917917
76,2022-10-10,111.0,111.94,108.01,108.22,1099099
75,2022-10-11,108.51,110.4,108.41,109.32,1279628
74,2022-10-12,109.1,111.99,109.0,110.13,1030331
73,2022-10-13,110.13,110.5,108.51,108.96,519385
72,2022-10-14,109.01,109.55,108.0,108.78,630758
71,2022-10-17,109.55,109.55,107.9,108.89,227810
70,2022-10-18,109.49,109.49,108.2,108.7,585212
69,2022-10-19,109.0,111.3,108.61,109.58,1638100
68,2022-10-20,110.5,110.5,109.3,109.5,491350
67,2022-10-21,110.01,110.01,108.45,109.29,912964
66,2022-10-24,111.0,111.0,108.52,109.07,194258
65,2022-10-25,109.08,109.85,108.5,108.97,304001
64,2022-10-26,108.97,111.0,108.25,110.6,3638000
63,2022-10-27,109.0,109.0,107.01,107.41,500093
62,2022-10-28,107.07,107.99,106.6,107.1,170362
61,2022-10-31,107.89,107.89,104.8,105.32,738398
102,2022-11-01,105.33,106.5,105.11,105.69,480746
101,2022-11-02,106.45,107.0,105.12,106.23,552107
100,2022-11-03,106.22,106.5,106.0,106.39,152402
99,2022-11-04,105.12,107.0,102.4,104.44,698612
98,2022-11-07,106.9,106.9,104.01,105.0,528322
97,2022-11-08,105.79,108.0,104.56,107.83,2429031
96,2022-11-10,109.0,114.25,109.0,113.59,4282796
95,2022-11-11,114.25,115.7,112.0,113.34,1156474
94,2022-11-14,113.1,113.9,112.8,112.99,1136967
93,2022-11-15,112.5,113.0,112.02,112.63,220752
92,2022-11-16,111.91,112.75,111.91,112.16,83637
91,2022-11-17,112.21,112.5,111.0,111.39,852354
90,2022-11-18,110.85,112.0,110.48,111.18,1090116
89,2022-11-21,111.18,111.5,110.56,111.26,125802
88,2022-11-22,111.6,111.95,110.3,111.65,397877
87,2022-11-23,112.0,112.5,111.13,112.02,686276
86,2022-11-24,112.79,112.8,111.11,111.31,865558
85,2022-11-25,113.0,113.0,110.71,111.81,648554
84,2022-11-28,112.79,112.79,110.0,110.55,663283
83,2022-11-29,110.58,111.45,110.21,110.83,495841
82,2022-11-30,110.5,111.05,109.09,109.52,434524
124,2022-12-01,109.55,111.05,109.5,109.62,271576
123,2022-12-02,109.8,110.74,107.0,108.87,358287
122,2022-12-05,109.47,109.47,107.5,107.67,204498
121,2022-12-06,108.9,108.9,106.21,106.92,258717
120,2022-12-07,106.82,108.5,106.47,106.74,1845638
119,2022-12-08,107.0,107.0,105.0,105.05,341014
118,2022-12-09,105.9,105.9,104.5,105.29,238276
117,2022-12-12,106.0,106.0,105.0,105.45,688410
116,2022-12-13,105.16,107.1,105.16,106.75,247835
115,2022-12-14,107.0,107.0,106.1,106.3,292245
114,2022-12-15,106.1,106.35,103.5,104.81,1424184
113,2022-12-16,105.0,106.4,103.9,104.77,842800
112,2022-12-19,106.8,106.8,104.9,106.22,1219732
111,2022-12-20,106.25,110.0,102.85,106.29,3337471
110,2022-12-21,104.0,106.0,103.8,103.89,360535
109,2022-12-22,104.0,105.77,103.3,105.07,317546
108,2022-12-23,105.12,105.12,102.93,103.53,340433
107,2022-12-26,105.45,105.45,101.7,101.86,778816
106,2022-12-27,104.3,104.5,101.02,101.21,275909
105,2022-12-28,101.49,101.49,98.2,99.01,5088729
104,2022-12-29,101.0,101.0,98.4,99.18,661835
103,2022-12-30,99.98,100.6,99.0,99.54,553631
