,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,27.35,27.35,26.87,26.98,1032109
16,2022-07-04,26.91,27.25,26.46,26.83,3281902
15,2022-07-05,26.75,27.08,25.01,25.44,6536342
14,2022-07-06,25.73,26.25,25.61,25.76,1402562
13,2022-07-07,25.65,26.22,25.6,25.84,774619
12,2022-07-13,25.8,27.61,25.7,27.46,3015430
11,2022-07-14,27.58,28.3,27.01,28.16,2902137
10,2022-07-15,28.17,28.22,27.55,27.73,1171563
9,2022-07-18,27.1,27.25,26.5,26.64,1089869
8,2022-07-19,26.66,27.0,24.65,24.76,3217832
7,2022-07-20,24.76,25.29,23.8,24.27,2959156
6,2022-07-21,24.43,24.69,23.1,23.22,2431220
5,2022-07-22,23.2,24.55,22.71,24.08,2870481
4,2022-07-25,23.56,24.09,23.56,23.96,315063
3,2022-07-26,24.08,24.43,23.05,24.27,792215
2,2022-07-27,24.06,24.99,23.82,24.61,1911789
1,2022-07-28,24.73,25.1,24.5,24.75,2432007
0,2022-07-29,24.7,24.8,23.92,24.03,928997
38,2022-08-01,24.8,24.8,23.7,23.98,2486816
37,2022-08-02,23.62,25.1,23.45,24.64,2007079
36,2022-08-03,24.95,26.48,24.7,26.47,5288907
35,2022-08-04,26.6,27.52,26.51,27.06,4158995
34,2022-08-05,27.15,29.07,27.15,28.94,8264809
33,2022-08-10,29.0,29.3,28.2,28.75,4577856
32,2022-08-11,28.65,28.97,28.19,28.3,2486635
31,2022-08-12,28.26,28.6,28.01,28.37,1772773
30,2022-08-15,28.4,29.8,28.4,29.36,9287252
29,2022-08-16,29.13,29.5,28.21,28.45,6355314
28,2022-08-17,28.3,29.11,28.1,28.98,4745145
27,2022-08-18,28.75,29.25,28.5,28.57,2694555
26,2022-08-19,28.31,28.57,28.05,28.31,622476
25,2022-08-22,28.3,28.5,27.49,27.54,860248
24,2022-08-23,27.91,28.7,27.54,28.24,4934189
23,2022-08-24,28.24,28.45,28.0,28.14,1253957
22,2022-08-25,28.3,28.3,27.75,28.07,2460748
21,2022-08-26,28.39,28.42,27.35,27.44,3624687
20,2022-08-29,27.72,28.2,26.68,28.06,3902784
19,2022-08-30,28.75,29.1,27.5,27.63,5312580
18,2022-08-31,27.89,28.97,27.61,28.62,4889747
60,2022-09-01,28.9,29.8,28.56,28.89,23497128
59,2022-09-02,28.5,29.1,28.2,28.56,5813770
58,2022-09-05,28.51,29.04,27.53,27.89,6076152
57,2022-09-06,27.89,28.11,27.6,27.95,1352404
56,2022-09-07,28.24,28.24,27.6,27.76,1310986
55,2022-09-08,28.0,28.82,27.6,28.65,8407442
54,2022-09-09,29.0,29.15,28.55,28.6,6396627
53,2022-09-12,28.85,28.85,28.21,28.31,1489263
52,2022-09-13,28.49,28.75,28.3,28.5,1131876
51,2022-09-14,28.36,28.63,28.18,28.31,1520073
50,2022-09-15,28.25,28.64,28.1,28.24,1851524
49,2022-09-16,28.13,28.4,27.75,28.0,2573646
48,2022-09-19,28.01,28.25,27.3,27.78,712071
47,2022-09-20,27.5,28.1,27.46,27.91,1409777
46,2022-09-21,27.76,28.1,27.3,27.37,725013
45,2022-09-22,27.57,27.61,26.5,27.41,2436310
44,2022-09-23,27.7,27.7,27.0,27.19,1574064
43,2022-09-26,27.12,28.39,27.12,28.03,8333879
42,2022-09-27,28.15,28.75,28.15,28.41,3666464
41,2022-09-28,28.4,28.65,28.23,28.27,2309981
40,2022-09-29,28.27,28.65,28.0,28.2,1962083
39,2022-09-30,28.06,28.56,27.75,27.86,1484302
81,2022-10-03,28.01,28.2,27.27,27.62,855267
80,2022-10-04,27.65,28.2,27.45,27.9,4142266
79,2022-10-05,28.19,28.7,28.0,28.61,10055596
78,2022-10-06,28.95,29.25,28.62,28.82,10262413
77,2022-10-07,28.5,29.49,28.45,28.83,7980419
76,2022-10-10,29.1,29.2,28.61,29.12,5265286
75,2022-10-11,29.24,29.24,28.5,28.54,2893931
74,2022-10-12,28.54,28.89,28.21,28.29,2461190
73,2022-10-13,28.5,28.7,28.2,28.3,1447385
72,2022-10-14,28.51,28.7,28.1,28.27,1222837
71,2022-10-17,28.22,28.39,27.61,27.67,1515751
70,2022-10-18,28.25,28.4,27.82,28.14,2028646
69,2022-10-19,28.3,28.88,28.29,28.69,3588641
68,2022-10-20,28.52,29.19,28.32,28.47,3762117
67,2022-10-21,28.4,28.83,28.0,28.62,2576946
66,2022-10-24,28.88,29.06,28.39,28.51,1681344
65,2022-10-25,28.32,28.51,27.76,27.95,1224650
64,2022-10-26,27.75,27.75,26.2,27.0,3424681
63,2022-10-27,27.02,27.43,26.7,27.2,1358778
62,2022-10-28,27.0,27.0,26.1,26.28,1788296
61,2022-10-31,26.72,26.72,26.06,26.41,424853
102,2022-11-01,27.17,27.65,27.03,27.5,2282692
101,2022-11-02,27.38,27.85,27.12,27.53,1394978
100,2022-11-03,27.48,28.13,27.42,27.86,2251386
99,2022-11-04,27.6,28.05,27.2,27.49,1845365
98,2022-11-07,27.91,28.19,27.45,27.57,685306
97,2022-11-08,28.2,28.2,27.7,27.98,3200763
96,2022-11-10,27.9,28.57,27.9,28.36,3060403
95,2022-11-11,28.51,28.6,27.91,28.05,1071411
94,2022-11-14,28.0,28.01,27.4,27.5,1587468
93,2022-11-15,27.8,27.81,27.28,27.34,2242647
92,2022-11-16,27.25,27.52,27.08,27.21,661484
91,2022-11-17,27.22,27.54,27.21,27.26,1279247
90,2022-11-18,27.46,27.49,27.1,27.18,679251
89,2022-11-21,27.2,27.39,27.1,27.14,518627
88,2022-11-22,27.26,27.59,27.2,27.38,1030459
87,2022-11-23,27.5,27.55,27.15,27.25,333411
86,2022-11-24,27.34,27.95,27.3,27.78,2184328
