,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,74.0,75.2,73.07,73.41,186224
16,2022-07-04,73.06,74.49,72.25,72.52,63241
15,2022-07-05,72.26,73.9,72.26,72.47,81709
14,2022-07-06,72.9,73.0,72.01,72.2,83412
13,2022-07-07,72.5,72.5,71.5,71.67,161163
12,2022-07-13,72.0,72.94,71.5,72.05,346435
11,2022-07-14,72.93,73.51,72.05,73.05,470179
10,2022-07-15,73.54,73.54,72.02,72.57,143633
9,2022-07-18,71.19,72.19,70.5,71.24,190571
8,2022-07-19,71.87,71.87,66.5,67.24,1084855
7,2022-07-20,67.55,68.0,66.89,67.03,457196
6,2022-07-21,67.49,67.49,65.0,66.3,353116
5,2022-07-22,66.4,67.34,65.61,67.12,156728
4,2022-07-25,66.51,68.85,65.4,67.35,313813
3,2022-07-26,67.7,69.74,66.7,67.67,302035
2,2022-07-27,68.4,68.4,66.8,67.38,155714
1,2022-07-28,67.98,68.9,67.5,67.87,227502
0,2022-07-29,67.6,68.74,66.6,67.42,211104
38,2022-08-01,67.2,69.01,67.2,68.04,344606
37,2022-08-02,67.0,68.87,66.8,68.01,315971
36,2022-08-03,69.49,69.69,68.51,68.95,907370
35,2022-08-04,69.95,71.5,69.25,70.55,2557042
34,2022-08-05,71.49,72.75,70.81,71.2,1592140
33,2022-08-10,71.3,73.7,71.2,72.07,2587197
32,2022-08-11,72.5,72.64,71.51,72.19,1057180
31,2022-08-12,72.0,74.3,70.01,73.88,1902485
30,2022-08-15,73.88,77.0,73.4,76.43,2329308
29,2022-08-16,77.1,79.0,76.0,78.27,3523561
28,2022-08-17,78.99,81.5,77.52,79.79,1929399
27,2022-08-18,79.79,81.0,78.12,78.79,445259
26,2022-08-19,78.25,78.75,77.5,78.09,509414
25,2022-08-22,77.0,79.24,76.5,78.0,743714
24,2022-08-23,78.5,80.95,78.5,80.45,2130849
23,2022-08-24,80.45,82.0,79.52,80.03,1017771
22,2022-08-25,79.72,80.37,77.5,78.99,2428445
21,2022-08-26,78.99,81.99,77.02,77.53,520969
20,2022-08-29,77.05,77.9,75.4,76.55,708149
19,2022-08-30,78.0,78.0,73.5,74.35,608709
18,2022-08-31,73.01,74.94,72.5,72.86,1134889
60,2022-09-01,73.4,73.87,71.52,71.73,1526805
59,2022-09-02,72.3,72.37,70.5,71.2,1012509
58,2022-09-05,71.97,72.25,70.5,70.61,574185
57,2022-09-06,70.9,71.5,70.01,70.97,468928
56,2022-09-07,70.55,71.2,69.51,69.69,219289
55,2022-09-08,70.01,71.4,69.09,70.79,898852
54,2022-09-09,70.61,71.0,68.0,70.34,398010
53,2022-09-12,70.3,70.99,69.0,69.98,147625
52,2022-09-13,70.7,71.99,70.0,71.76,572761
51,2022-09-14,71.69,71.8,70.8,71.27,124559
50,2022-09-15,71.5,72.8,70.25,70.69,1761159
49,2022-09-16,70.69,71.0,69.01,69.22,615504
48,2022-09-19,69.85,69.85,69.1,69.14,236654
47,2022-09-20,68.0,70.0,67.5,68.28,489985
46,2022-09-21,68.98,69.65,68.0,68.67,748197
45,2022-09-22,68.3,68.8,67.5,68.13,407304
44,2022-09-23,68.5,68.5,66.11,66.74,841964
43,2022-09-26,67.1,67.89,66.5,66.86,958015
42,2022-09-27,67.38,69.8,67.11,68.77,583560
41,2022-09-28,69.18,69.8,68.15,69.1,735361
40,2022-09-29,69.1,69.11,68.2,68.72,305132
39,2022-09-30,68.6,68.6,67.5,68.12,825837
81,2022-10-03,67.99,67.99,67.12,67.33,275957
80,2022-10-04,67.11,68.5,67.1,68.07,539992
79,2022-10-05,68.25,68.55,67.5,67.84,272767
78,2022-10-06,68.1,69.49,67.61,68.96,746776
77,2022-10-07,69.9,70.9,68.51,68.75,1856568
76,2022-10-10,68.99,69.15,67.89,68.62,745997
75,2022-10-11,68.6,69.5,68.5,68.63,249179
74,2022-10-12,68.94,68.94,67.75,67.92,226468
73,2022-10-13,68.0,68.5,67.76,68.09,223430
72,2022-10-14,67.96,69.2,67.96,68.08,744472
71,2022-10-17,68.2,68.55,67.15,67.62,304394
70,2022-10-18,68.49,68.49,67.5,67.63,275474
69,2022-10-19,64.02,64.5,63.63,64.46,142229
68,2022-10-20,65.0,65.35,63.7,63.9,187315
67,2022-10-21,64.0,64.1,62.5,63.74,256825
66,2022-10-24,64.99,64.99,63.5,63.56,154197
65,2022-10-25,63.6,64.09,62.0,62.44,297597
64,2022-10-26,62.01,62.9,61.4,61.89,472927
63,2022-10-27,62.74,62.74,60.1,61.75,790626
62,2022-10-28,61.33,62.45,60.1,61.55,407396
61,2022-10-31,61.05,63.0,60.15,60.76,533533
102,2022-11-01,61.89,61.98,60.9,61.87,155568
101,2022-11-02,62.02,62.75,61.2,62.16,369143
100,2022-11-03,62.75,63.0,61.9,62.07,396480
99,2022-11-04,60.25,61.7,60.1,61.01,205123
98,2022-11-07,61.41,61.81,61.01,61.71,166666
97,2022-11-08,62.1,62.6,61.43,62.18,255855
96,2022-11-10,61.62,64.0,61.54,63.49,724374
95,2022-11-11,63.49,63.8,63.1,63.33,187550
94,2022-11-14,63.28,63.33,62.5,63.01,74327
93,2022-11-15,63.5,63.6,62.75,63.02,257479
92,2022-11-16,63.0,63.4,61.8,62.1,238866
91,2022-11-17,62.7,62.7,61.49,61.59,165871
90,2022-11-18,61.2,61.99,60.25,60.5,451284
89,2022-11-21,61.5,61.5,59.4,60.14,755173
88,2022-11-22,60.5,61.65,59.62,61.15,582206
87,2022-11-23,61.5,61.7,60.9,61.33,129999
86,2022-11-24,61.95,61.33,60.71,60.89,323817
85,2022-11-25,61.25,61.25,60.1,60.38,564131
84,2022-11-28,59.99,59.99,57.3,58.89,794392
83,2022-11-29,59.39,59.4,58.11,58.97,80277
82,2022-11-30,59.3,59.35,58.0,58.69,636113
124,2022-12-01,57.91,58.74,57.91,58.32,70931
123,2022-12-02,57.51,58.6,57.01,58.25,646742
122,2022-12-05,58.5,59.0,57.0,57.75,376773
121,2022-12-06,58.2,58.44,57.1,57.81,932591
120,2022-12-07,58.1,58.2,57.3,57.51,840560
119,2022-12-08,57.97,57.97,56.2,56.84,585279
118,2022-12-09,56.99,57.44,56.5,57.01,210344
117,2022-12-12,56.55,57.2,55.0,56.56,408233
116,2022-12-13,56.99,56.99,56.0,56.7,266803
115,2022-12-14,56.88,58.6,56.7,57.74,968519
114,2022-12-15,57.74,57.74,56.5,56.61,638747
113,2022-12-16,57.26,57.26,55.3,56.14,236441
112,2022-12-19,56.3,57.0,55.55,56.55,689452
111,2022-12-20,57.05,57.09,52.31,52.65,1329109
110,2022-12-21,51.58,53.1,50.5,52.23,271480
109,2022-12-22,52.9,53.5,52.02,53.48,239082
108,2022-12-23,53.39,53.5,52.0,52.88,1032726
107,2022-12-26,53.0,54.29,52.01,53.03,681764
106,2022-12-27,52.98,52.98,52.1,52.42,107280
105,2022-12-28,52.25,52.6,50.9,51.7,1145456
104,2022-12-29,51.6,55.57,50.0,53.9,4663392
103,2022-12-30,53.0,57.0,52.5,54.99,3420676
