,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,78.67,79.0,77.8,78.05,1139618
16,2022-07-04,77.75,78.5,77.5,77.6,468516
15,2022-07-05,77.6,77.95,77.0,77.04,786372
14,2022-07-06,77.3,77.6,77.01,77.38,312691
13,2022-07-07,77.17,81.75,77.01,80.46,5795311
12,2022-07-13,80.0,84.8,80.0,83.63,9979259
11,2022-07-14,85.0,85.0,83.71,84.08,4360091
10,2022-07-15,84.09,84.09,82.56,82.71,1668315
9,2022-07-18,81.85,81.85,80.5,80.93,1649733
8,2022-07-19,80.99,81.7,77.6,78.32,3402840
7,2022-07-20,78.39,80.7,77.55,80.16,3546551
6,2022-07-21,79.9,80.41,78.01,78.77,2175720
5,2022-07-22,79.95,80.46,78.35,80.1,2619804
4,2022-07-25,79.5,80.0,78.75,79.43,809586
3,2022-07-26,78.66,80.8,78.66,80.01,2725853
2,2022-07-27,80.4,80.95,79.4,80.17,1988791
1,2022-07-28,80.17,82.0,80.17,81.0,2372179
0,2022-07-29,81.45,81.45,80.03,80.42,1422768
38,2022-08-01,80.5,81.1,80.0,80.5,919957
37,2022-08-02,80.14,80.9,80.0,80.14,1497420
36,2022-08-03,80.88,82.15,80.25,81.5,3945301
35,2022-08-04,81.8,82.65,81.6,82.19,2751781
34,2022-08-05,82.19,83.23,81.3,82.69,3333864
33,2022-08-10,84.32,86.74,84.15,84.74,7617652
32,2022-08-11,85.0,85.44,84.25,84.53,1933226
31,2022-08-12,84.99,87.88,84.65,87.46,6862248
30,2022-08-15,88.1,89.0,86.6,87.42,6997128
29,2022-08-16,87.7,88.3,86.5,86.86,3751148
28,2022-08-17,86.6,86.83,86.0,86.13,2225078
27,2022-08-18,86.15,86.7,84.8,85.21,3048758
26,2022-08-19,85.01,85.8,84.37,84.77,856995
25,2022-08-22,84.35,85.0,82.65,83.05,3603096
24,2022-08-23,83.9,85.0,83.7,84.71,2698387
23,2022-08-24,84.5,85.3,84.0,84.26,646553
22,2022-08-25,83.9,84.48,83.6,84.06,1209208
21,2022-08-26,84.0,84.4,82.6,82.77,1771063
20,2022-08-29,82.85,86.0,81.11,81.82,1874621
19,2022-08-30,83.8,83.85,81.13,81.31,1756142
18,2022-08-31,81.0,83.1,81.0,82.2,1044019
60,2022-09-01,83.0,83.0,81.75,81.81,1153468
59,2022-09-02,82.25,82.25,81.0,81.23,615400
58,2022-09-05,81.24,81.35,80.01,80.09,1439261
57,2022-09-06,80.12,80.6,79.93,80.32,999785
56,2022-09-07,80.8,80.8,79.5,79.84,712302
55,2022-09-08,79.9,80.5,79.8,80.17,1449141
54,2022-09-09,80.55,80.55,79.5,79.64,1147183
53,2022-09-12,79.8,80.09,78.98,79.04,572401
52,2022-09-13,79.5,79.5,78.52,78.62,654071
51,2022-09-14,78.45,80.0,78.15,79.36,1118996
50,2022-09-15,80.0,80.0,78.05,78.2,1750164
49,2022-09-16,78.8,78.8,76.75,78.4,2499800
48,2022-09-19,78.5,78.8,77.88,77.98,736086
47,2022-09-20,78.0,78.3,75.51,75.87,1581672
46,2022-09-21,75.91,76.5,71.12,72.5,3471806
45,2022-09-22,71.45,74.38,71.05,73.76,2980991
44,2022-09-23,75.0,75.55,73.0,73.33,4149061
43,2022-09-26,73.5,74.5,73.5,73.68,1295266
42,2022-09-27,74.4,79.0,73.9,76.58,2822998
41,2022-09-28,76.69,77.8,75.8,76.42,2048636
40,2022-09-29,76.0,76.5,75.01,75.8,1107643
39,2022-09-30,75.79,76.48,75.04,75.72,1463910
81,2022-10-03,75.69,75.99,75.0,75.14,751886
80,2022-10-04,75.06,75.49,74.5,74.74,596467
79,2022-10-05,75.0,75.24,74.48,74.59,519520
78,2022-10-06,74.5,76.7,74.5,76.23,1766625
77,2022-10-07,75.61,76.79,75.3,75.47,789060
76,2022-10-10,75.5,77.45,75.5,76.36,2201264
75,2022-10-11,76.51,77.9,76.51,76.93,2725856
74,2022-10-12,76.75,77.2,76.5,76.67,1067530
73,2022-10-13,77.0,77.35,76.35,76.53,3945656
72,2022-10-14,74.6,74.7,73.5,73.91,2147880
71,2022-10-17,73.9,74.0,72.2,72.38,836345
70,2022-10-18,72.45,73.4,71.8,72.01,1211234
69,2022-10-19,71.82,73.1,71.82,72.91,1189977
68,2022-10-20,73.25,73.6,72.2,72.29,1061325
67,2022-10-21,72.59,73.8,71.83,72.96,4553831
66,2022-10-24,73.95,74.25,72.96,73.21,1265381
65,2022-10-25,73.12,74.89,73.1,73.22,4391704
64,2022-10-26,72.76,72.8,71.4,71.62,1759687
63,2022-10-27,71.9,71.9,70.85,71.33,1310959
62,2022-10-28,71.33,71.48,70.25,70.44,928073
61,2022-10-31,70.9,71.1,69.9,70.06,1568147
102,2022-11-01,70.35,70.99,70.0,70.93,1561100
101,2022-11-02,70.76,71.89,70.76,71.47,1403371
100,2022-11-03,71.89,72.61,71.47,72.26,3215528
99,2022-11-04,70.5,70.7,70.0,70.35,851616
98,2022-11-07,70.8,71.41,70.61,70.88,1189278
97,2022-11-08,71.25,72.3,71.15,71.67,967994
96,2022-11-10,71.75,75.9,71.75,74.05,12082071
95,2022-11-11,74.4,78.49,73.65,77.97,12535792
94,2022-11-14,77.0,78.2,76.01,76.24,4367124
93,2022-11-15,76.4,78.65,76.13,76.81,6570407
92,2022-11-16,77.0,77.7,75.7,76.05,2408954
91,2022-11-17,76.49,76.5,74.86,75.07,1306240
90,2022-11-18,74.75,75.3,74.05,74.39,1895748
89,2022-11-21,74.45,75.0,74.0,74.53,747024
88,2022-11-22,74.8,75.14,73.9,74.03,1832635
87,2022-11-23,74.3,74.44,73.8,73.99,661563
86,2022-11-24,74.0,74.5,73.6,74.02,1602557
85,2022-11-25,74.75,75.1,74.1,74.27,2351914
84,2022-11-28,73.47,73.7,71.98,72.23,2333164
83,2022-11-29,72.41,73.2,72.12,72.63,1297750
82,2022-11-30,72.85,73.13,72.15,72.56,1254629
124,2022-12-01,72.99,73.25,72.4,72.46,2715962
123,2022-12-02,72.36,72.75,71.77,72.43,1145494
122,2022-12-05,72.01,72.3,71.5,71.64,692614
121,2022-12-06,71.9,72.0,70.5,71.45,957355
120,2022-12-07,72.0,72.15,70.85,71.13,1823903
119,2022-12-08,71.45,71.5,71.0,71.22,1395145
118,2022-12-09,71.35,73.4,71.08,71.91,3443549
117,2022-12-12,72.15,72.7,71.9,72.1,1482364
116,2022-12-13,72.1,72.5,71.4,71.59,709841
115,2022-12-14,71.31,73.6,71.06,73.06,3095047
114,2022-12-15,73.0,73.2,71.1,72.15,2101633
113,2022-12-16,72.37,72.74,71.2,72.52,753472
112,2022-12-19,72.38,73.1,71.6,71.74,1171096
111,2022-12-20,71.99,72.19,69.0,70.14,1992528
110,2022-12-21,69.6,70.75,69.5,69.77,935392
109,2022-12-22,70.5,73.5,70.5,72.25,3719850
108,2022-12-23,72.0,73.49,71.81,72.98,2677053
107,2022-12-26,73.7,77.05,73.5,76.87,7699788
106,2022-12-27,76.89,77.35,74.85,75.11,2590526
105,2022-12-28,74.13,75.9,74.0,75.27,2684756
104,2022-12-29,75.85,77.0,75.21,76.46,3601912
103,2022-12-30,76.46,81.68,76.46,79.66,10287417
