,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,15.85,16.08,15.7,15.87,1668000
16,2022-07-04,16.07,16.07,15.52,15.57,1507500
15,2022-07-05,15.74,15.85,15.51,15.56,926000
14,2022-07-06,15.69,15.83,15.56,15.61,939500
13,2022-07-07,15.61,15.74,15.5,15.55,1100500
12,2022-07-13,15.55,16.05,15.52,15.94,2258000
11,2022-07-14,16.05,16.36,15.96,16.29,3717500
10,2022-07-15,16.29,16.8,16.17,16.29,12025000
9,2022-07-18,15.88,16.0,15.5,15.72,3331000
8,2022-07-19,15.8,15.95,14.8,15.0,4643500
7,2022-07-20,15.02,15.25,14.88,15.03,3395500
6,2022-07-21,15.21,15.29,14.35,14.5,3695500
5,2022-07-22,14.55,15.13,14.26,15.06,2726500
4,2022-07-25,14.9,15.1,14.63,15.03,1002000
3,2022-07-26,15.0,15.2,14.87,15.1,1249500
2,2022-07-27,15.15,15.28,14.7,15.0,1432500
1,2022-07-28,15.12,15.44,15.01,15.14,2927500
0,2022-07-29,15.21,15.25,14.8,14.86,2855500
38,2022-08-01,14.86,15.06,14.7,14.8,1292000
37,2022-08-02,14.7,15.2,14.45,15.11,3289000
36,2022-08-03,15.19,15.9,15.19,15.82,6249000
35,2022-08-04,16.0,16.66,15.85,16.52,11967500
34,2022-08-05,16.62,17.23,16.52,16.99,15939000
33,2022-08-10,17.08,17.11,16.75,16.8,5406000
32,2022-08-11,16.65,16.94,16.39,16.43,5274000
31,2022-08-12,16.45,16.75,16.33,16.65,3867500
30,2022-08-15,16.81,17.35,16.75,17.22,9769000
29,2022-08-16,17.23,17.57,17.0,17.08,10010500
28,2022-08-17,17.15,17.72,16.95,17.41,9692500
27,2022-08-18,17.45,17.69,17.1,17.16,2432500
26,2022-08-19,17.01,17.1,16.8,16.84,762500
25,2022-08-22,16.6,16.78,16.31,16.45,1544500
24,2022-08-23,16.68,16.87,16.45,16.49,2583500
23,2022-08-24,16.7,16.7,16.28,16.43,1018500
22,2022-08-25,16.4,16.5,16.17,16.42,1235500
21,2022-08-26,16.49,17.2,16.32,16.72,13091000
20,2022-08-29,16.7,16.71,15.81,16.6,8078500
19,2022-08-30,17.06,17.07,16.35,16.4,2768500
18,2022-08-31,16.35,16.7,16.16,16.51,2169500
60,2022-09-01,16.7,16.85,16.41,16.67,1838500
59,2022-09-02,16.66,17.25,16.55,16.84,7772500
58,2022-09-05,16.85,16.99,16.32,16.46,1390500
57,2022-09-06,16.54,16.78,16.32,16.46,857000
56,2022-09-07,16.6,16.9,16.38,16.46,1303500
55,2022-09-08,16.6,16.69,16.36,16.57,784000
54,2022-09-09,16.53,16.71,16.4,16.42,854500
53,2022-09-12,16.4,16.55,16.25,16.28,289500
52,2022-09-13,16.4,16.5,16.15,16.4,990500
51,2022-09-14,16.47,16.47,16.16,16.21,954000
50,2022-09-15,16.35,16.53,16.01,16.15,1498000
49,2022-09-16,16.15,16.28,16.0,16.09,833000
48,2022-09-19,16.24,16.24,15.85,15.9,502500
47,2022-09-20,16.01,16.01,15.62,15.68,377500
46,2022-09-21,15.7,15.73,15.23,15.31,1088500
45,2022-09-22,15.31,15.6,14.95,15.48,1802000
44,2022-09-23,15.65,15.65,15.06,15.16,1161000
43,2022-09-26,15.27,15.65,15.22,15.58,1168000
42,2022-09-27,15.68,15.91,15.6,15.83,1556000
41,2022-09-28,15.94,16.13,15.6,15.67,1876000
40,2022-09-29,15.75,15.75,15.48,15.51,814500
39,2022-09-30,15.41,16.3,15.41,16.03,5834000
81,2022-10-03,15.7,16.08,15.7,15.94,1119000
80,2022-10-04,16.01,16.22,15.85,16.04,4181500
79,2022-10-05,16.1,16.45,15.96,16.07,1148000
78,2022-10-06,16.15,16.6,16.1,16.33,8350500
77,2022-10-07,16.26,16.5,16.1,16.25,5266000
76,2022-10-10,16.26,17.46,16.1,17.45,27142500
75,2022-10-11,17.62,18.2,16.9,17.05,27370500
74,2022-10-12,17.15,17.4,16.73,16.89,5081500
73,2022-10-13,16.91,17.15,16.61,16.68,3208500
72,2022-10-14,16.79,16.89,16.5,16.51,2575000
71,2022-10-17,16.51,16.55,16.07,16.11,1670000
70,2022-10-18,16.23,16.32,15.91,15.95,2590000
69,2022-10-19,16.09,16.29,16.0,16.23,2001500
68,2022-10-20,16.4,16.65,16.25,16.33,1501500
67,2022-10-21,16.25,16.47,15.9,16.4,2978500
66,2022-10-24,16.7,16.8,16.12,16.29,2576500
65,2022-10-25,16.33,16.55,15.95,16.04,1469500
64,2022-10-26,15.85,15.97,15.22,15.75,4211000
63,2022-10-27,15.55,15.88,15.45,15.76,1942500
62,2022-10-28,15.52,15.7,15.15,15.44,2726500
61,2022-10-31,15.48,15.48,15.26,15.43,372500
102,2022-11-01,15.59,15.84,15.5,15.76,541000
101,2022-11-02,15.71,15.97,15.5,15.55,1190500
100,2022-11-03,15.56,16.16,15.56,15.85,2416500
99,2022-11-04,15.53,15.8,15.4,15.45,2377000
98,2022-11-07,15.66,15.72,15.52,15.62,612500
97,2022-11-08,15.69,16.15,15.64,15.99,4151000
96,2022-11-10,15.87,16.45,15.87,16.29,3957000
95,2022-11-11,16.42,16.47,16.0,16.1,2373500
94,2022-11-14,16.01,16.01,15.74,15.77,1310000
93,2022-11-15,15.75,16.05,15.71,15.79,2141000
92,2022-11-16,15.89,16.31,15.82,16.11,3701500
91,2022-11-17,16.29,16.33,15.85,15.91,2449500
90,2022-11-18,15.77,16.06,15.7,15.75,930500
89,2022-11-21,15.95,15.95,15.67,15.72,481500
88,2022-11-22,15.87,16.8,15.75,16.46,15303000
87,2022-11-23,16.44,16.49,16.1,16.13,2065500
86,2022-11-24,16.1,16.3,16.1,16.17,1429500
85,2022-11-25,16.32,16.41,15.9,15.98,2657000
84,2022-11-28,15.68,15.7,15.16,15.42,2371000
83,2022-11-29,15.5,15.7,15.24,15.43,2799000
82,2022-11-30,15.58,15.66,15.3,15.39,1369000
124,2022-12-01,15.58,15.58,15.3,15.35,760500
123,2022-12-02,15.4,15.45,14.95,15.36,2103000
122,2022-12-05,15.36,15.7,14.99,15.33,1016500
121,2022-12-06,15.25,15.35,14.99,15.23,1876500
120,2022-12-07,15.33,15.49,15.16,15.34,1269000
119,2022-12-08,15.45,15.45,15.0,15.16,895500
118,2022-12-09,15.09,15.38,15.0,15.13,758000
117,2022-12-12,15.11,15.23,15.01,15.11,748000
116,2022-12-13,15.0,15.16,14.75,15.03,1119000
115,2022-12-14,15.0,15.17,14.87,15.01,840000
114,2022-12-15,15.05,15.05,14.27,14.79,4453500
113,2022-12-16,14.55,14.88,14.5,14.77,1024000
112,2022-12-19,14.56,14.78,14.22,14.6,1778000
111,2022-12-20,14.51,14.6,13.51,13.68,3089500
110,2022-12-21,13.83,13.91,12.86,13.08,3869500
109,2022-12-22,13.23,13.25,12.79,12.87,4727000
108,2022-12-23,12.81,12.98,12.0,12.22,4658000
107,2022-12-26,12.37,12.6,12.31,12.44,3532000
106,2022-12-27,12.27,12.55,12.14,12.19,2072000
105,2022-12-28,12.2,12.33,11.75,11.9,3470500
104,2022-12-29,12.0,12.68,11.78,12.5,4242000
103,2022-12-30,12.4,13.35,12.05,12.95,10852500
