,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,60.24,60.24,58.85,59.17,308090
16,2022-07-04,59.2,59.3,58.05,58.38,329999
15,2022-07-05,58.38,59.89,57.5,57.95,149768
14,2022-07-06,58.14,60.6,58.14,59.49,990058
13,2022-07-07,59.51,60.0,58.51,59.8,182568
12,2022-07-13,59.1,62.3,59.0,61.85,696737
11,2022-07-14,63.0,63.5,60.21,63.29,1365864
10,2022-07-15,61.61,64.25,61.5,61.83,754058
9,2022-07-18,63.0,63.0,58.55,59.11,430462
8,2022-07-19,59.5,60.38,56.0,56.35,799013
7,2022-07-20,57.34,57.85,54.89,57.32,732777
6,2022-07-21,56.75,57.49,54.0,54.78,371281
5,2022-07-22,54.79,57.87,53.8,56.57,399024
4,2022-07-25,56.1,56.29,55.4,55.89,39164
3,2022-07-26,55.4,56.65,55.12,56.13,170328
2,2022-07-27,56.5,56.5,54.52,55.74,215608
1,2022-07-28,56.29,57.5,55.8,56.13,356415
0,2022-07-29,56.13,56.7,54.21,55.26,169212
38,2022-08-01,55.02,56.4,54.0,54.79,225495
37,2022-08-02,54.5,57.4,53.11,55.22,466698
36,2022-08-03,55.0,59.36,55.0,59.36,1531219
35,2022-08-04,60.0,62.9,60.0,62.07,2165751
34,2022-08-05,63.15,66.72,63.15,65.64,4395914
33,2022-08-10,65.1,66.35,63.55,65.3,939988
32,2022-08-11,65.25,65.5,63.8,64.31,1208794
31,2022-08-12,64.33,65.48,63.75,64.68,789498
30,2022-08-15,65.1,69.53,65.0,68.79,3125705
29,2022-08-16,69.1,70.5,66.1,66.45,2358574
28,2022-08-17,66.88,68.0,64.7,67.52,1273869
27,2022-08-18,67.71,68.89,66.76,67.01,764959
26,2022-08-19,66.99,67.5,65.11,65.57,389463
25,2022-08-22,65.35,65.35,63.6,63.9,251179
24,2022-08-23,65.8,67.39,65.56,66.52,1358880
23,2022-08-24,66.55,67.0,64.5,64.74,422529
22,2022-08-25,65.0,67.9,64.2,67.06,1240683
21,2022-08-26,68.05,68.39,65.3,66.4,627221
20,2022-08-29,65.9,66.75,63.7,66.46,1087163
19,2022-08-30,67.7,68.08,64.9,65.19,1025609
18,2022-08-31,65.98,69.83,64.8,68.45,2531819
60,2022-09-01,69.0,72.43,69.0,70.91,5861370
59,2022-09-02,70.8,71.8,69.5,69.85,2115558
58,2022-09-05,70.5,72.15,68.1,68.84,3758874
57,2022-09-06,68.99,68.99,66.0,66.92,2036394
56,2022-09-07,67.95,67.98,65.86,66.34,852217
55,2022-09-08,67.0,70.5,67.0,69.45,4151982
54,2022-09-09,69.48,71.75,69.48,69.68,3294638
53,2022-09-12,70.24,70.54,68.45,68.67,824981
52,2022-09-13,69.5,70.9,69.5,70.49,1961102
51,2022-09-14,70.11,70.9,69.11,69.39,1987418
50,2022-09-15,70.9,70.9,68.2,68.47,1017175
49,2022-09-16,68.89,69.2,67.31,67.91,879993
48,2022-09-19,68.0,68.4,66.75,66.84,264463
47,2022-09-20,67.8,68.0,65.9,66.75,1173751
46,2022-09-21,67.4,67.49,65.7,65.95,486851
45,2022-09-22,65.7,65.89,61.26,64.14,1667040
44,2022-09-23,64.48,65.45,63.5,63.73,605525
43,2022-09-26,62.1,68.5,62.1,68.48,2505197
42,2022-09-27,69.0,70.85,67.75,68.82,4066879
41,2022-09-28,69.23,70.3,68.61,68.78,1789837
40,2022-09-29,68.84,69.69,67.85,68.26,1711797
39,2022-09-30,68.89,68.9,66.5,67.76,3149522
81,2022-10-03,67.35,68.7,67.3,67.79,962434
80,2022-10-04,68.65,69.84,67.3,68.51,1897293
79,2022-10-05,69.2,73.64,69.0,73.09,6800832
78,2022-10-06,73.69,75.8,73.12,73.52,3923248
77,2022-10-07,73.5,76.0,73.1,73.39,2634062
76,2022-10-10,73.4,76.79,73.4,75.99,2887382
75,2022-10-11,76.25,76.74,73.91,74.08,1716072
74,2022-10-12,74.06,75.25,73.23,73.57,1008276
73,2022-10-13,73.71,73.97,72.0,72.44,963371
72,2022-10-14,73.5,73.75,71.32,71.56,543188
71,2022-10-17,70.33,71.7,70.33,70.54,443808
70,2022-10-18,71.55,72.75,70.26,71.28,1336710
69,2022-10-19,72.0,75.2,72.0,74.89,2364049
68,2022-10-20,75.29,75.65,73.5,73.76,1328557
67,2022-10-21,73.1,73.95,71.11,73.27,966019
66,2022-10-24,75.0,75.25,72.9,72.99,632541
65,2022-10-25,73.05,73.75,71.2,71.51,383366
64,2022-10-26,71.01,71.01,67.01,67.81,1494824
63,2022-10-27,67.26,70.0,67.26,69.74,1148883
62,2022-10-28,69.0,69.68,67.0,67.41,472899
61,2022-10-31,67.84,68.5,67.0,67.76,308787
102,2022-11-01,70.0,71.74,69.75,71.38,1185247
101,2022-11-02,71.3,73.48,69.71,72.93,1618451
100,2022-11-03,73.25,74.79,72.69,73.71,2265046
99,2022-11-04,71.5,74.88,71.01,71.47,2103489
98,2022-11-07,71.5,73.3,71.5,72.83,704854
97,2022-11-08,74.5,74.7,73.0,73.78,1500791
96,2022-11-10,73.55,75.49,73.55,74.34,2075469
95,2022-11-11,74.6,75.15,73.65,73.88,639573
94,2022-11-14,73.5,73.98,72.25,72.73,411767
93,2022-11-15,72.5,73.25,71.5,71.77,794113
92,2022-11-16,72.25,72.25,69.75,70.11,1111294
