,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,408.98,410.9,404.1,409.29,115552
16,2022-07-04,408.0,408.94,404.15,404.8,36708
15,2022-07-05,408.0,408.0,403.25,404.4,11017
14,2022-07-06,403.0,405.0,397.0,401.15,185697
13,2022-07-07,404.9,405.09,396.0,397.39,478883
12,2022-07-13,395.0,399.85,393.0,396.47,223496
11,2022-07-14,399.0,399.5,393.0,394.53,157923
10,2022-07-15,395.99,395.99,391.0,394.27,83903
9,2022-07-18,390.5,393.89,389.8,392.91,140067
8,2022-07-19,395.0,395.47,365.03,381.38,259281
7,2022-07-20,380.0,386.44,375.03,384.87,211320
6,2022-07-21,385.5,385.5,368.51,373.78,167503
5,2022-07-22,377.0,377.9,371.5,376.19,116183
4,2022-07-25,375.89,377.0,372.5,375.88,22121
3,2022-07-26,375.0,382.39,372.01,380.29,89266
2,2022-07-27,380.4,382.5,378.5,379.21,90645
1,2022-07-28,375.01,392.0,375.01,389.86,131264
0,2022-07-29,391.9,398.0,386.01,390.49,268154
38,2022-08-01,394.89,394.89,387.55,389.1,31985
37,2022-08-02,390.0,393.0,386.1,390.81,57558
36,2022-08-03,393.0,405.1,393.0,403.4,311162
35,2022-08-04,404.3,404.4,398.5,401.14,67105
34,2022-08-05,401.14,401.96,397.0,399.61,116858
33,2022-08-10,404.0,410.0,401.51,407.13,395721
32,2022-08-11,410.81,411.5,406.05,406.89,267532
31,2022-08-12,410.81,419.0,408.0,416.31,274085
30,2022-08-15,416.55,425.0,416.55,420.41,330171
29,2022-08-16,424.0,428.0,415.0,421.79,799335
28,2022-08-17,423.0,424.0,416.85,417.28,426933
27,2022-08-18,420.0,422.0,416.5,418.73,147989
26,2022-08-19,420.97,421.0,417.5,420.07,130307
25,2022-08-22,420.89,425.0,416.11,423.88,231417
24,2022-08-23,424.94,429.5,423.11,424.46,114051
23,2022-08-24,427.99,429.0,424.01,427.27,202078
22,2022-08-25,429.0,431.0,424.12,427.53,336751
21,2022-08-26,426.1,429.0,425.16,425.78,187589
20,2022-08-29,428.8,428.8,417.5,426.1,211067
19,2022-08-30,429.0,431.0,422.0,422.49,114041
18,2022-08-31,425.0,426.95,417.0,418.61,205991
60,2022-09-01,422.0,425.5,418.0,418.58,152424
59,2022-09-02,419.0,419.0,413.13,414.82,193448
58,2022-09-05,415.0,417.9,414.01,416.32,68739
57,2022-09-06,416.0,418.88,414.5,414.98,219576
56,2022-09-07,416.0,417.8,412.5,414.22,251634
55,2022-09-08,414.0,415.5,411.06,411.97,181265
54,2022-09-09,416.0,422.0,412.5,420.62,1005212
53,2022-09-12,379.99,379.99,370.0,376.45,221266
52,2022-09-13,376.45,377.23,373.0,374.38,94404
51,2022-09-14,375.98,375.98,372.0,372.76,44611
50,2022-09-15,374.0,374.0,369.0,369.84,100831
49,2022-09-16,368.01,373.0,361.8,363.8,196652
48,2022-09-19,365.0,370.45,364.5,366.09,56484
47,2022-09-20,369.0,369.0,360.02,362.29,124981
46,2022-09-21,362.0,364.86,349.5,352.81,160199
45,2022-09-22,353.0,354.99,346.5,347.66,233004
44,2022-09-23,349.5,354.0,347.5,348.47,107589
43,2022-09-26,349.0,352.0,340.0,341.95,223581
42,2022-09-27,343.99,349.7,343.0,345.84,238654
41,2022-09-28,347.8,350.0,342.0,343.21,128099
40,2022-09-29,344.0,346.0,343.0,343.69,147250
39,2022-09-30,345.0,355.0,344.01,349.12,311238
81,2022-10-03,350.0,353.0,348.15,349.75,132659
80,2022-10-04,348.1,351.95,347.25,348.41,74903
79,2022-10-05,350.0,354.0,349.0,351.84,87388
78,2022-10-06,353.0,362.88,352.99,360.99,219593
77,2022-10-07,362.0,364.4,355.03,357.91,70193
76,2022-10-10,358.0,365.0,358.0,359.06,188953
75,2022-10-11,358.11,360.37,356.51,357.2,40944
74,2022-10-12,357.01,368.0,356.5,364.13,231638
73,2022-10-13,363.01,366.0,362.1,364.01,102368
72,2022-10-14,364.0,367.5,360.5,363.88,68988
71,2022-10-17,365.95,368.0,362.85,363.7,89922
70,2022-10-18,363.0,370.0,363.0,368.48,103176
69,2022-10-19,370.0,377.95,369.02,372.1,203613
68,2022-10-20,377.0,377.0,371.41,373.63,135801
67,2022-10-21,376.8,379.0,369.09,377.0,137568
66,2022-10-24,379.15,382.0,377.0,377.41,63341
65,2022-10-25,377.0,385.0,377.0,382.97,148570
64,2022-10-26,382.8,384.0,378.6,383.25,115588
63,2022-10-27,384.75,390.5,382.0,388.77,133134
62,2022-10-28,389.81,392.0,382.55,383.44,148670
61,2022-10-31,384.0,387.88,382.21,385.96,49312
102,2022-11-01,386.0,399.0,386.0,396.57,250444
101,2022-11-02,398.99,407.6,396.58,406.17,225642
100,2022-11-03,405.0,411.89,404.0,410.55,234284
99,2022-11-04,405.0,410.89,405.0,409.5,244355
98,2022-11-07,416.97,416.97,410.01,412.49,181205
97,2022-11-08,413.0,418.97,412.5,417.15,256128
96,2022-11-10,417.15,424.0,417.0,418.46,308798
95,2022-11-11,417.6,424.0,410.5,420.11,250934
94,2022-11-14,418.5,424.13,411.5,413.08,93212
