,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,67.5,67.51,66.55,67.02,532489
16,2022-07-04,67.0,67.4,66.55,66.71,210506
15,2022-07-05,67.05,67.05,66.1,66.2,253497
14,2022-07-06,66.0,66.46,65.98,66.12,341671
13,2022-07-07,66.02,69.6,66.02,68.62,2833319
12,2022-07-13,68.95,71.94,67.91,71.32,3742956
11,2022-07-14,72.0,73.2,71.24,72.11,3371818
10,2022-07-15,72.0,72.45,70.71,70.95,1240827
9,2022-07-18,69.95,70.2,68.51,69.31,847843
8,2022-07-19,69.31,69.79,65.06,66.47,2756455
7,2022-07-20,66.7,69.2,65.75,68.64,2299770
6,2022-07-21,68.4,69.48,67.51,68.03,1020891
5,2022-07-22,68.06,69.7,67.21,68.33,1455537
4,2022-07-25,69.5,69.5,67.0,67.87,794316
3,2022-07-26,67.99,68.7,67.5,67.94,941701
2,2022-07-27,68.43,69.6,67.5,68.29,994789
1,2022-07-28,68.42,70.5,68.42,69.32,1610235
0,2022-07-29,69.5,69.7,68.25,68.45,1369663
38,2022-08-01,68.74,69.0,68.0,68.05,331279
37,2022-08-02,68.1,68.67,67.4,67.92,1007896
36,2022-08-03,68.68,70.25,68.2,69.26,1501332
35,2022-08-04,68.61,70.5,68.61,69.57,1556219
34,2022-08-05,69.3,70.55,69.3,70.32,1576695
33,2022-08-10,72.4,74.84,71.6,73.35,4032551
32,2022-08-11,73.75,73.75,72.4,72.63,1017468
31,2022-08-12,73.0,75.19,72.5,74.31,3289601
30,2022-08-15,75.49,75.49,73.75,74.31,3247219
29,2022-08-16,74.45,75.48,73.12,73.61,2718440
28,2022-08-17,74.0,74.1,72.9,73.2,1261195
27,2022-08-18,73.65,73.74,71.8,71.99,1997813
26,2022-08-19,72.49,72.49,71.5,71.63,624024
25,2022-08-22,71.51,72.25,70.46,70.6,496274
24,2022-08-23,71.3,72.55,71.17,72.24,1816969
23,2022-08-24,72.0,72.69,71.3,71.42,512755
22,2022-08-25,71.69,71.75,70.45,70.67,1136787
21,2022-08-26,70.39,71.12,69.6,69.72,2246127
20,2022-08-29,70.2,70.2,68.4,68.66,1011906
19,2022-08-30,70.0,70.79,68.01,68.16,1167459
18,2022-08-31,68.15,69.79,68.01,69.34,1065563
60,2022-09-01,69.75,70.0,68.8,69.0,709208
59,2022-09-02,68.75,69.39,67.8,67.93,809258
58,2022-09-05,68.4,68.4,66.81,66.85,1267801
57,2022-09-06,66.7,67.4,66.7,67.17,375456
56,2022-09-07,67.29,67.6,66.9,67.03,1235788
55,2022-09-08,67.4,67.45,67.0,67.05,523353
54,2022-09-09,67.49,67.49,66.49,66.71,1178327
53,2022-09-12,66.9,67.32,65.95,66.0,826651
52,2022-09-13,66.1,66.5,65.99,66.06,448316
51,2022-09-14,66.1,66.9,65.86,66.57,697379
50,2022-09-15,66.89,66.9,65.1,65.44,1507342
49,2022-09-16,65.75,65.75,64.51,65.08,1457907
48,2022-09-19,65.15,65.65,64.58,64.85,779084
47,2022-09-20,65.05,65.5,59.99,60.21,4767208
46,2022-09-21,60.25,60.95,59.0,59.92,1602466
45,2022-09-22,59.3,60.18,57.81,59.37,2579347
44,2022-09-23,60.19,60.25,56.13,58.27,2063762
43,2022-09-26,58.25,59.05,57.6,58.6,2634937
42,2022-09-27,58.95,62.9,58.25,60.95,4035556
41,2022-09-28,61.25,63.3,61.0,61.59,2105549
40,2022-09-29,61.1,61.98,60.21,61.32,1307118
39,2022-09-30,60.7,62.5,59.9,61.45,2276124
81,2022-10-03,61.01,61.39,60.32,60.44,589556
80,2022-10-04,60.55,60.55,59.2,59.43,938701
79,2022-10-05,59.4,59.94,58.05,58.3,1188777
78,2022-10-06,58.74,59.36,58.51,59.22,1638970
77,2022-10-07,58.8,59.08,58.5,58.64,816085
76,2022-10-10,58.97,60.02,58.6,58.78,1639391
75,2022-10-11,58.81,59.9,58.67,59.24,1468539
74,2022-10-12,59.23,59.67,58.7,59.31,1164193
73,2022-10-13,59.5,60.3,59.26,59.51,1128962
72,2022-10-14,59.98,59.98,58.9,58.99,554895
71,2022-10-17,58.5,58.89,56.8,57.16,915860
70,2022-10-18,57.37,57.57,56.0,56.39,1258927
69,2022-10-19,56.65,57.0,56.2,56.59,1201586
68,2022-10-20,56.97,57.4,56.1,56.24,859912
67,2022-10-21,56.35,57.0,55.13,56.69,1770367
66,2022-10-24,57.32,57.57,56.6,56.69,704227
65,2022-10-25,56.58,57.2,56.1,56.17,925444
64,2022-10-26,56.0,56.0,53.5,54.18,2631592
63,2022-10-27,54.48,54.48,52.5,53.2,3722534
62,2022-10-28,53.43,53.49,50.43,51.05,3886082
61,2022-10-31,51.02,51.97,50.8,51.54,832728
102,2022-11-01,51.73,52.72,51.5,52.42,1477729
101,2022-11-02,52.69,53.97,52.3,53.26,2916383
100,2022-11-03,53.49,54.4,53.0,53.12,1405357
99,2022-11-04,52.46,52.65,51.91,52.26,649797
98,2022-11-07,53.0,53.55,52.8,52.84,924352
97,2022-11-08,53.0,53.79,52.5,53.48,981492
96,2022-11-10,53.05,56.85,53.05,55.75,6723472
95,2022-11-11,55.76,59.7,55.01,58.98,10745242
94,2022-11-14,58.11,59.25,56.97,57.15,4940336
93,2022-11-15,57.04,60.9,57.0,59.63,8327900
92,2022-11-16,59.63,61.25,58.0,58.52,4114813
91,2022-11-17,58.5,59.3,57.6,57.94,1835427
90,2022-11-18,57.53,58.1,56.7,56.99,2650512
89,2022-11-21,56.6,57.64,56.2,57.07,1163517
88,2022-11-22,57.35,57.5,56.4,56.52,881274
87,2022-11-23,56.84,57.1,56.4,56.56,817647
86,2022-11-24,56.51,58.01,56.49,57.4,3318834
85,2022-11-25,58.25,58.9,57.11,57.33,2485413
84,2022-11-28,56.0,57.26,55.5,56.06,1804673
83,2022-11-29,55.81,57.24,55.75,56.65,1418046
82,2022-11-30,56.97,56.99,55.9,56.49,772852
124,2022-12-01,56.62,56.9,55.86,56.0,973639
123,2022-12-02,55.76,56.49,55.55,55.86,576489
122,2022-12-05,55.99,56.2,54.6,54.79,580459
121,2022-12-06,55.05,55.05,53.9,54.76,834508
120,2022-12-07,54.61,55.18,54.5,54.74,702322
119,2022-12-08,55.1,55.8,54.53,55.01,1035859
118,2022-12-09,55.0,57.15,54.9,56.04,3587853
117,2022-12-12,56.1,56.5,55.79,56.3,913003
116,2022-12-13,56.25,56.44,55.7,55.83,902720
115,2022-12-14,55.9,58.5,55.4,57.19,2504717
114,2022-12-15,57.19,57.2,53.16,54.94,2688390
113,2022-12-16,54.8,56.78,54.51,55.93,1463861
112,2022-12-19,55.21,56.9,54.5,55.06,3219583
111,2022-12-20,54.75,55.48,53.0,53.39,4035137
110,2022-12-21,52.99,54.04,50.51,51.73,2093916
109,2022-12-22,52.55,55.6,52.4,54.65,6362369
108,2022-12-23,54.5,58.15,54.25,57.47,6853755
107,2022-12-26,59.15,61.78,59.1,61.78,11055491
106,2022-12-27,62.3,64.5,60.5,61.11,12467526
105,2022-12-28,60.9,62.75,60.6,62.28,6188555
104,2022-12-29,62.2,64.29,62.2,63.39,6618729
103,2022-12-30,63.7,68.14,63.7,68.14,11900894
