,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,172.0,174.75,171.84,172.42,726129
16,2022-07-04,172.12,172.35,169.76,170.36,276460
15,2022-07-05,170.5,170.65,169.12,169.38,221226
14,2022-07-06,169.55,170.45,169.16,169.35,201924
13,2022-07-07,170.0,173.56,168.16,172.35,835618
12,2022-07-13,171.91,178.0,171.5,175.61,1392492
11,2022-07-14,180.5,181.05,177.5,178.02,1196142
10,2022-07-15,178.0,184.49,176.64,182.27,3326247
9,2022-07-18,179.0,181.5,177.1,177.83,1054604
8,2022-07-19,178.0,179.27,168.0,171.79,1812713
7,2022-07-20,172.0,175.0,171.79,173.92,1457919
6,2022-07-21,174.5,174.5,169.25,169.79,534006
5,2022-07-22,171.95,171.99,167.1,169.93,965805
4,2022-07-25,167.95,169.2,166.7,168.99,228660
3,2022-07-26,168.89,173.5,167.55,172.09,635020
2,2022-07-27,171.84,173.45,169.0,171.18,818203
1,2022-07-28,172.25,175.0,171.0,173.63,567550
0,2022-07-29,173.5,175.75,171.8,172.44,946509
38,2022-08-01,174.0,175.49,172.11,172.8,1003401
37,2022-08-02,171.25,173.4,169.2,172.04,593796
36,2022-08-03,172.75,178.0,172.75,176.63,1614294
35,2022-08-04,178.99,183.25,178.4,180.73,2908389
34,2022-08-05,182.0,187.8,181.1,187.11,3032564
33,2022-08-10,189.8,192.0,187.02,188.02,2282757
32,2022-08-11,187.5,190.5,186.0,189.29,1601482
31,2022-08-12,191.99,193.39,190.4,192.82,2272446
30,2022-08-15,193.9,196.5,192.0,192.78,2152423
29,2022-08-16,193.3,194.4,188.5,189.83,1037612
28,2022-08-17,190.3,191.1,185.5,189.82,472234
27,2022-08-18,189.0,191.6,188.51,189.11,480091
26,2022-08-19,190.89,191.5,187.0,187.45,891010
25,2022-08-22,187.0,187.0,184.5,185.17,1054409
24,2022-08-23,186.0,188.4,185.75,186.75,1163319
23,2022-08-24,187.96,188.45,185.75,185.91,836223
22,2022-08-25,186.0,186.75,183.11,183.69,744783
21,2022-08-26,183.5,184.98,171.0,172.75,5366892
20,2022-08-29,172.03,172.03,168.11,171.28,1432034
19,2022-08-30,173.98,174.49,169.0,169.31,1174610
18,2022-08-31,169.5,171.9,169.11,170.31,855002
60,2022-09-01,170.8,171.9,170.1,170.22,823744
59,2022-09-02,170.94,170.94,167.97,168.53,393425
58,2022-09-05,168.56,168.56,165.1,165.45,623071
57,2022-09-06,166.0,170.5,165.0,170.23,1232963
