,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,108.85,108.85,107.05,107.35,203877
16,2022-07-04,107.25,107.65,104.0,105.18,134032
15,2022-07-05,105.95,105.95,104.5,104.84,51014
14,2022-07-06,105.0,106.45,105.0,105.54,87929
13,2022-07-07,105.83,105.98,104.52,105.19,77378
12,2022-07-13,104.56,106.9,104.5,106.32,143266
11,2022-07-14,108.0,109.0,106.41,107.31,777399
10,2022-07-15,107.29,107.44,105.89,106.02,173645
9,2022-07-18,104.2,104.99,103.01,103.52,256511
8,2022-07-19,103.33,104.4,97.99,99.46,649145
7,2022-07-20,100.0,100.99,98.0,98.87,446991
6,2022-07-21,98.87,99.25,95.01,97.63,327979
5,2022-07-22,97.12,99.03,96.01,98.48,162638
4,2022-07-25,97.0,99.0,96.89,98.64,62022
3,2022-07-26,98.0,99.5,97.35,98.74,86529
2,2022-07-27,99.0,99.5,97.5,98.97,143388
1,2022-07-28,98.97,100.85,98.26,98.71,309423
0,2022-07-29,99.25,99.25,97.8,98.08,145769
38,2022-08-01,99.0,99.87,97.5,97.61,85016
37,2022-08-02,97.5,99.2,96.1,98.33,159738
36,2022-08-03,98.99,105.7,98.98,103.67,1226226
35,2022-08-04,104.47,104.75,102.11,102.55,486047
34,2022-08-05,102.98,104.99,102.1,104.2,449633
33,2022-08-10,104.49,108.0,104.0,105.7,798898
32,2022-08-11,105.75,105.9,103.91,104.2,203049
31,2022-08-12,104.44,106.5,104.44,105.66,301962
30,2022-08-15,106.6,113.58,106.6,111.95,3832897
29,2022-08-16,112.49,113.59,110.0,110.73,1256028
28,2022-08-17,110.0,111.99,108.01,108.79,477080
27,2022-08-18,108.1,113.39,108.1,111.21,1800277
26,2022-08-19,112.0,112.0,109.1,109.36,350222
25,2022-08-22,108.0,109.0,107.07,108.16,335466
24,2022-08-23,109.0,110.0,108.01,109.0,440450
23,2022-08-24,109.85,110.2,108.5,108.65,226614
22,2022-08-25,108.7,111.99,108.7,109.25,1047047
21,2022-08-26,109.49,109.75,107.25,108.02,445480
20,2022-08-29,106.65,108.0,104.8,106.35,491356
19,2022-08-30,108.0,108.5,105.01,105.38,324085
18,2022-08-31,105.0,109.99,104.7,107.37,657114
60,2022-09-01,108.31,108.8,106.5,106.99,258294
59,2022-09-02,107.1,107.6,106.1,106.51,103544
58,2022-09-05,105.4,106.4,104.57,104.86,137861
57,2022-09-06,104.5,105.25,104.01,104.51,95652
