,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,330.99,338.99,323.5,328.49,565284
16,2022-07-04,328.1,332.7,328.1,328.87,137461
15,2022-07-05,330.99,334.0,329.99,330.61,97572
14,2022-07-06,332.5,333.9,329.2,331.58,83718
13,2022-07-07,332.09,333.88,329.99,331.16,142154
12,2022-07-13,331.16,339.9,329.25,337.54,161663
11,2022-07-14,338.0,349.95,338.0,346.38,525122
10,2022-07-15,350.0,356.9,346.6,348.01,477914
9,2022-07-18,342.99,344.4,338.0,340.66,256219
8,2022-07-19,341.0,346.5,337.28,338.93,264511
7,2022-07-20,339.0,340.0,335.0,338.19,155069
6,2022-07-21,340.95,341.45,330.04,331.87,322693
5,2022-07-22,339.99,344.0,330.54,340.99,357237
4,2022-07-25,340.9,340.99,333.0,335.55,133680
3,2022-07-26,337.72,341.97,335.0,335.98,155649
2,2022-07-27,336.02,343.48,335.0,341.73,155968
1,2022-07-28,342.0,365.5,342.0,349.38,899110
0,2022-07-29,350.0,353.99,344.02,347.64,417938
38,2022-08-01,347.64,360.4,347.64,354.72,516580
37,2022-08-02,351.0,360.5,351.0,356.92,248289
36,2022-08-03,357.2,363.99,357.2,361.66,441099
35,2022-08-04,364.99,364.99,358.5,359.78,221746
34,2022-08-05,360.0,361.01,351.0,359.94,192701
33,2022-08-10,360.0,368.2,360.0,364.12,541781
32,2022-08-11,366.4,366.4,358.0,358.45,454164
31,2022-08-12,359.7,364.0,356.5,360.66,107832
30,2022-08-15,364.0,368.0,360.0,365.69,562902
29,2022-08-16,366.1,368.0,361.0,361.44,228465
28,2022-08-17,359.0,388.54,359.0,382.82,784230
27,2022-08-18,386.0,387.9,370.0,371.79,589817
26,2022-08-19,372.0,377.9,368.6,375.06,229640
25,2022-08-22,370.05,374.8,368.0,370.56,198859
24,2022-08-23,377.0,381.25,372.5,380.18,701588
23,2022-08-24,388.0,397.5,382.1,391.12,1295827
22,2022-08-25,391.99,393.55,388.0,389.07,560428
21,2022-08-26,389.0,397.9,382.3,383.38,975580
20,2022-08-29,382.25,394.78,372.0,390.43,846475
19,2022-08-30,400.0,401.0,391.0,394.15,971956
18,2022-08-31,392.05,403.0,391.0,397.71,977122
60,2022-09-01,399.17,408.8,398.0,402.02,1441558
59,2022-09-02,401.93,406.5,400.15,401.16,473641
58,2022-09-05,401.5,402.99,391.12,392.11,359030
57,2022-09-06,393.89,398.2,388.88,396.47,245854
56,2022-09-07,397.0,399.0,393.0,393.91,92284
55,2022-09-08,394.51,396.5,391.98,393.51,104191
54,2022-09-09,395.89,397.0,392.0,394.2,171166
53,2022-09-12,394.9,399.0,393.51,394.68,139813
52,2022-09-13,393.1,395.5,388.0,389.13,156669
51,2022-09-14,388.75,394.0,387.14,390.84,390951
50,2022-09-15,392.9,397.35,387.9,391.84,554461
49,2022-09-16,393.5,400.0,389.62,390.8,337641
48,2022-09-19,391.0,394.89,390.0,390.15,228296
47,2022-09-20,392.39,392.39,384.01,387.13,148863
46,2022-09-21,388.0,388.0,381.31,382.75,99224
45,2022-09-22,382.98,389.0,375.0,386.72,293063
44,2022-09-23,388.9,390.9,381.0,384.0,163390
43,2022-09-26,380.21,386.5,380.21,385.93,132989
42,2022-09-27,387.0,389.0,384.02,386.02,173063
41,2022-09-28,386.79,387.0,376.76,378.93,275647
40,2022-09-29,379.0,379.5,370.0,373.52,229346
39,2022-09-30,371.0,379.0,371.0,377.48,135527
81,2022-10-03,378.0,385.0,376.1,380.88,168221
80,2022-10-04,381.26,387.5,381.26,386.36,184475
79,2022-10-05,384.02,388.6,382.5,386.1,140313
78,2022-10-06,390.0,415.05,389.99,414.91,2152848
77,2022-10-07,415.01,440.0,413.1,417.14,2868362
76,2022-10-10,418.0,430.98,418.0,419.67,635317
75,2022-10-11,423.0,428.4,415.5,424.22,477932
74,2022-10-12,422.5,433.9,420.0,425.21,594745
73,2022-10-13,425.6,449.4,425.6,445.14,1633734
72,2022-10-14,445.14,446.0,435.0,436.11,523206
71,2022-10-17,435.0,445.49,428.0,441.88,773204
70,2022-10-18,444.44,453.6,441.01,442.15,857574
69,2022-10-19,443.0,444.84,436.1,441.32,126464
68,2022-10-20,441.25,446.8,428.98,430.82,794018
67,2022-10-21,431.0,434.7,422.0,431.77,256395
66,2022-10-24,436.0,438.5,430.13,433.61,163175
65,2022-10-25,433.0,433.0,428.01,430.97,139983
64,2022-10-26,428.9,441.4,427.1,433.4,582343
63,2022-10-27,435.0,439.0,429.1,435.71,366311
62,2022-10-28,436.0,445.96,430.49,436.96,551595
61,2022-10-31,439.98,444.66,436.6,443.72,204343
102,2022-11-01,444.0,453.49,444.0,451.32,503072
101,2022-11-02,453.0,453.5,447.61,451.87,221122
100,2022-11-03,453.48,457.0,451.0,454.0,576687
99,2022-11-04,449.99,451.9,445.5,449.03,224008
98,2022-11-07,453.0,454.6,448.0,449.73,220693
97,2022-11-08,450.0,451.0,446.0,447.22,98340
96,2022-11-10,448.0,455.5,448.0,452.39,589876
95,2022-11-11,453.9,454.96,449.02,452.97,116050
94,2022-11-14,453.0,453.0,446.51,448.79,80868
93,2022-11-15,450.95,458.51,447.98,448.82,378518
