,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,77.25,77.78,76.1,76.89,1257907
16,2022-07-04,77.0,77.39,76.3,76.48,284847
15,2022-07-05,76.7,77.0,76.07,76.26,453799
14,2022-07-06,76.15,77.5,76.26,77.01,1800618
13,2022-07-07,77.5,78.5,77.01,78.21,2132069
12,2022-07-13,78.32,81.81,77.03,81.32,4195551
11,2022-07-14,81.66,82.82,80.97,81.21,5309503
10,2022-07-15,81.0,81.8,79.5,79.61,2222366
9,2022-07-18,78.9,78.9,76.45,77.21,2707953
8,2022-07-19,77.05,77.99,75.25,75.5,2154392
7,2022-07-20,75.86,77.74,75.15,76.84,2178649
6,2022-07-21,77.0,78.65,76.38,77.78,4476778
5,2022-07-22,78.4,80.16,77.56,79.69,2343895
4,2022-07-25,79.0,79.6,77.99,78.96,905526
3,2022-07-26,79.35,82.25,78.51,80.16,3835269
2,2022-07-27,80.5,81.25,79.55,80.38,2661647
1,2022-07-28,80.5,86.24,80.06,85.32,10772640
0,2022-07-29,85.32,91.71,85.0,91.71,8650982
38,2022-08-01,96.51,96.9,91.02,91.59,9214095
37,2022-08-02,89.7,93.78,88.55,91.51,7515379
36,2022-08-03,91.9,94.0,91.75,92.46,5215866
35,2022-08-04,93.1,95.25,92.01,93.4,7068834
34,2022-08-05,93.5,94.97,92.1,94.08,5765642
33,2022-08-10,95.0,98.92,94.61,96.14,12584224
32,2022-08-11,95.71,96.7,94.3,94.56,3174725
31,2022-08-12,94.6,96.99,93.6,96.54,6166557
30,2022-08-15,96.98,99.8,96.95,99.39,11883585
29,2022-08-16,100.4,101.99,96.72,97.1,10041361
28,2022-08-17,97.52,99.0,96.35,98.06,4013726
27,2022-08-18,98.21,99.9,96.9,97.28,3744845
26,2022-08-19,97.0,98.55,96.5,98.08,2098670
25,2022-08-22,96.8,97.15,95.45,96.27,2649977
24,2022-08-23,97.15,98.8,97.15,97.62,5910136
23,2022-08-24,98.0,99.48,97.11,97.72,7810477
22,2022-08-25,97.89,97.98,96.3,96.59,3111064
21,2022-08-26,97.4,97.4,93.0,93.77,5356081
20,2022-08-29,92.51,93.0,89.27,92.34,4152252
19,2022-08-30,94.9,95.4,89.02,89.86,5151876
18,2022-08-31,89.11,90.7,88.74,89.92,2233388
60,2022-09-01,90.5,91.3,89.61,89.76,2816887
59,2022-09-02,89.5,90.75,89.1,89.58,2573657
58,2022-09-05,89.65,89.9,87.02,87.36,1774118
57,2022-09-06,87.77,88.82,86.51,87.97,2475438
56,2022-09-07,88.35,88.85,87.01,87.69,1316723
55,2022-09-08,88.02,90.49,87.65,89.68,3384897
54,2022-09-09,90.0,95.29,89.79,93.82,15096000
53,2022-09-12,94.2,98.26,94.19,96.16,15747371
52,2022-09-13,97.0,97.7,95.3,96.84,3863554
51,2022-09-14,96.15,104.0,95.6,102.25,16741568
50,2022-09-15,104.52,109.91,103.36,109.52,27444990
49,2022-09-16,110.5,117.73,109.55,116.19,27566526
48,2022-09-19,118.0,121.0,115.56,118.34,24721049
47,2022-09-20,117.99,118.9,113.55,114.64,14352832
46,2022-09-21,115.2,116.25,113.15,114.07,11378033
45,2022-09-22,114.45,120.4,113.8,119.72,17567887
44,2022-09-23,121.4,127.4,115.13,118.05,23899524
43,2022-09-26,118.1,126.9,117.0,126.65,27472054
42,2022-09-27,129.0,131.58,125.95,127.61,20818802
41,2022-09-28,128.5,129.24,124.12,125.3,8770233
40,2022-09-29,125.32,127.23,121.9,122.92,7811018
39,2022-09-30,119.98,131.0,117.45,128.86,30193074
81,2022-10-03,129.99,134.75,127.5,129.58,15993429
80,2022-10-04,130.1,134.92,129.2,133.87,15393359
79,2022-10-05,137.5,143.91,137.5,143.91,21772231
78,2022-10-06,146.49,149.2,143.53,147.4,23599180
77,2022-10-07,145.01,147.0,143.0,144.14,8223263
76,2022-10-10,145.55,152.4,145.55,151.43,26747663
75,2022-10-11,151.8,152.8,140.08,140.08,14458857
74,2022-10-12,135.01,135.95,129.58,129.58,7320985
73,2022-10-13,122.11,132.2,122.11,128.47,23196954
