,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,111.56,115.0,111.56,114.51,293888
16,2022-07-04,114.99,115.38,112.75,113.01,1180326
15,2022-07-05,113.88,113.95,112.51,113.37,118301
14,2022-07-06,113.95,114.0,113.1,113.85,90349
13,2022-07-07,114.0,115.0,113.81,114.0,281957
12,2022-07-13,114.0,115.51,113.1,115.26,710552
11,2022-07-14,115.5,117.7,115.5,117.22,552747
10,2022-07-15,118.4,118.96,115.2,115.46,497759
9,2022-07-18,114.5,115.0,113.51,114.32,219270
8,2022-07-19,114.5,114.9,110.4,111.1,321305
7,2022-07-20,112.0,113.0,111.1,112.0,757517
6,2022-07-21,111.3,113.0,110.75,111.45,186947
5,2022-07-22,112.1,112.1,109.55,110.0,607672
4,2022-07-25,110.0,110.0,107.51,108.06,112520
3,2022-07-26,107.5,109.45,107.1,108.01,1988581
2,2022-07-27,111.95,111.95,107.5,109.16,1725777
1,2022-07-28,111.5,112.0,108.35,111.15,1625167
0,2022-07-29,111.98,111.98,110.0,110.33,3051581
38,2022-08-01,110.02,110.94,108.05,108.91,206793
37,2022-08-02,109.75,109.75,107.16,108.02,494011
36,2022-08-03,108.7,115.0,107.67,113.75,3963433
35,2022-08-04,113.6,117.0,113.6,115.49,670583
34,2022-08-05,114.36,121.95,114.36,120.28,628010
33,2022-08-10,120.65,122.8,119.5,121.06,1240160
32,2022-08-11,121.0,122.98,120.0,120.51,366171
31,2022-08-12,121.5,122.7,120.61,122.27,603716
30,2022-08-15,119.0,121.74,118.27,120.47,825073
29,2022-08-16,120.5,121.45,119.9,120.5,461123
28,2022-08-17,121.0,121.25,119.27,120.86,171315
27,2022-08-18,121.5,121.5,118.5,119.14,123328
26,2022-08-19,118.6,120.5,115.4,115.91,532668
25,2022-08-22,117.5,117.5,113.11,113.59,639363
24,2022-08-23,113.98,115.98,112.9,115.41,1101524
23,2022-08-24,115.0,117.7,115.0,116.58,1858709
22,2022-08-25,117.47,117.7,115.14,116.95,841489
21,2022-08-26,117.49,117.49,115.8,116.61,286267
20,2022-08-29,116.99,118.0,114.22,117.33,883355
19,2022-08-30,118.01,118.01,116.0,116.68,838102
18,2022-08-31,117.38,117.8,115.0,116.71,829360
60,2022-09-01,117.45,117.45,115.0,116.89,157730
59,2022-09-02,117.49,117.49,116.0,116.62,228226
58,2022-09-05,116.94,117.0,115.6,116.72,280910
57,2022-09-06,117.5,117.5,115.0,117.01,390921
56,2022-09-07,115.55,117.79,115.55,116.78,236620
55,2022-09-08,115.3,117.29,115.3,115.53,142695
54,2022-09-09,117.65,117.65,115.5,115.86,251759
53,2022-09-12,116.48,116.9,115.75,116.5,181629
52,2022-09-13,117.0,120.6,117.0,119.9,1469063
51,2022-09-14,120.49,120.49,116.51,116.87,443465
50,2022-09-15,117.02,118.45,116.66,117.35,204057
49,2022-09-16,118.0,118.9,116.9,117.85,1067864
48,2022-09-19,118.0,118.0,116.06,117.26,137683
47,2022-09-20,118.7,118.7,115.65,115.99,305735
46,2022-09-21,117.24,117.24,115.15,115.63,89717
45,2022-09-22,115.01,116.49,114.49,115.45,153557
44,2022-09-23,116.3,116.3,113.95,114.08,180653
43,2022-09-26,114.08,116.0,114.0,114.42,227437
42,2022-09-27,115.0,116.99,114.2,116.55,374877
41,2022-09-28,117.13,117.95,116.41,116.79,535239
40,2022-09-29,117.95,117.95,112.91,113.26,748182
39,2022-09-30,113.02,115.0,112.6,114.89,109718
81,2022-10-03,114.1,115.0,113.5,114.01,287017
80,2022-10-04,114.78,114.8,112.6,112.95,352972
79,2022-10-05,112.61,113.9,111.5,112.09,218446
78,2022-10-06,112.0,113.5,112.0,113.03,311331
77,2022-10-07,111.25,113.5,111.24,112.94,712181
76,2022-10-10,114.48,114.48,111.8,112.94,542174
75,2022-10-11,113.4,113.4,110.99,111.37,322683
74,2022-10-12,111.05,112.5,111.0,112.22,524351
73,2022-10-13,112.85,112.98,112.01,112.58,242318
72,2022-10-14,113.88,113.88,112.31,112.75,1047669
71,2022-10-17,113.0,113.0,109.1,112.32,642979
70,2022-10-18,113.0,113.59,112.51,112.91,693079
