,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,20.3,20.39,19.95,20.02,4894266
16,2022-07-04,20.06,20.15,19.77,19.82,1642704
15,2022-07-05,19.97,19.97,19.8,19.83,727729
14,2022-07-06,20.0,20.14,19.85,19.93,5391551
13,2022-07-07,20.0,20.01,19.8,19.91,1434035
12,2022-07-13,19.77,20.19,19.63,20.12,3664187
11,2022-07-14,20.21,20.66,20.12,20.55,9117283
10,2022-07-15,20.51,20.87,20.1,20.19,8962944
9,2022-07-18,19.76,19.84,19.54,19.68,5946085
8,2022-07-19,19.57,19.77,18.38,18.54,7474484
7,2022-07-20,18.45,18.65,17.55,18.07,6313901
6,2022-07-21,18.08,18.18,16.72,16.72,10041035
5,2022-07-22,16.68,17.97,15.7,17.77,18963448
4,2022-07-25,17.65,18.52,17.29,18.34,7896760
3,2022-07-26,18.31,18.79,18.1,18.22,6136803
2,2022-07-27,18.4,18.4,17.65,17.97,3858385
1,2022-07-28,18.14,18.5,17.95,18.29,8156772
0,2022-07-29,18.11,18.95,18.11,18.74,13939844
38,2022-08-01,18.69,18.96,18.26,18.31,3882379
37,2022-08-02,18.05,19.03,17.6,18.75,7646854
36,2022-08-03,18.9,19.77,18.9,19.04,22892786
35,2022-08-04,19.18,19.35,18.74,19.13,10590864
34,2022-08-05,19.1,19.6,18.86,19.38,10040335
33,2022-08-10,19.6,20.24,19.45,20.11,13488279
32,2022-08-11,20.11,21.19,20.0,20.43,19675675
31,2022-08-12,20.42,20.9,20.41,20.81,5879306
30,2022-08-15,20.85,22.37,20.85,22.19,17638263
29,2022-08-16,22.31,23.52,21.95,22.8,32887671
28,2022-08-17,23.01,23.39,22.77,23.21,12047219
27,2022-08-18,23.35,23.47,22.75,22.88,6803172
26,2022-08-19,22.53,23.2,22.53,22.92,8919787
25,2022-08-22,22.8,22.99,21.93,22.12,10319820
24,2022-08-23,22.33,22.64,22.25,22.31,3619801
23,2022-08-24,22.54,22.54,21.69,21.94,3462659
22,2022-08-25,21.99,22.26,21.5,22.08,4668029
21,2022-08-26,22.3,22.99,22.2,22.75,8232374
20,2022-08-29,22.51,23.15,21.8,22.92,10017199
19,2022-08-30,23.69,24.05,22.86,22.99,12878450
18,2022-08-31,22.99,23.8,22.61,23.65,10978763
60,2022-09-01,23.9,23.96,23.31,23.47,6727639
59,2022-09-02,23.25,23.74,22.9,22.98,4747874
58,2022-09-05,22.89,22.99,22.15,22.28,3236881
57,2022-09-06,22.15,22.36,22.04,22.15,2806803
56,2022-09-07,22.2,22.36,21.35,21.56,3937541
55,2022-09-08,21.8,22.02,21.5,21.77,2710483
54,2022-09-09,21.76,22.49,21.7,21.93,2684024
53,2022-09-12,21.95,22.03,21.58,21.75,1397989
52,2022-09-13,21.76,22.1,21.48,21.53,2957738
51,2022-09-14,21.53,21.53,21.1,21.39,2226037
50,2022-09-15,21.59,21.99,21.33,21.37,3959487
49,2022-09-16,21.45,21.45,20.94,21.16,2811313
48,2022-09-19,21.3,21.39,21.0,21.05,807450
47,2022-09-20,21.19,21.38,20.81,21.18,2573421
46,2022-09-21,21.4,22.04,21.4,21.63,6163180
45,2022-09-22,21.69,22.2,21.21,22.02,3015104
44,2022-09-23,22.15,22.25,21.65,21.8,3504939
43,2022-09-26,22.01,23.43,22.01,23.06,15404235
42,2022-09-27,23.15,23.47,22.81,23.08,8207337
41,2022-09-28,23.33,23.35,22.4,22.61,5062520
40,2022-09-29,22.61,22.95,22.36,22.59,3460294
39,2022-09-30,22.65,22.89,22.35,22.56,2001235
